pc_id,name_ru,name_en,craft_group,master_family_ref,workplace_pf_id,inputs,tools,fuel_heat,outputs,waste_traces,skill_level,total_duration_band,step_count,season_constraints,failure_modes,defect_signs,player_feasibility_ru,authenticity_owner,region_id,wk_claim_refs,source_refs,confidence,status,note
pc_plank_boat,Постройка дощатой речной лодки,building a plank river boat,boatbuilding,boat_shipbuilding,riverbank,pr:hewn_board;mt_wood_oak;mt_wood_pine;mt_iron;mt_hemp;mt_pine_resin;mt_pine_pitch;mt_bast_linden;mt_animal_glue,tl_axe_carpenter;tl_adze_boat;tl_auger_spoon;tl_chisel;tl_caulking_iron;tl_pitch_pot;tl_boat_stocks;tl_mallet,разогрев смолы и пека; распаривание досок для гибки,pr:plank_boat,щепа;обрезки досок;капли смолы;пакля,master,weeks,5,строят на берегу в тёплое время; спуск — по высокой воде,течь по швам;доска треснула при гибке;корпус перекошен,мокрые пятна и струйки внутри;треск и поводка обшивки,"Работа лодейного мастера с помощниками за недели; в одиночку нереально. Нужны прямослойные доски, крепёж (деревянные нагели, железные гвозди и скобы), пакля и смола.",,,claim:construction-wooden-nail-planking;claim:construction-wooden-peg-vessel-joint;claim:construction-forged-iron-nail-vessel-joint;claim:construction-tarred-tow-caulking;claim:construction-iron-clamp-caulking;claim:construction-bast-vessel-fastening;claim:construction-pine-resin-surfaces;claim:construction-animal-glue-pegged-planks;claim:construction-aspen-cladding-joint;claim:macro-b20-steam-softened-wood-needs-restraint-and-controlled-drying-to-retain-a-bend;claim:population-wood-boat,src:dubrovin2000-transport,B,candidate,Конструктивные приёмы засвидетельствованы на лодке № 1 начала XI в. и судне XII в.; общий порядок сборки — реконструкция.
pc_dugout_boat,Долблёная лодка-однодеревка,dugout canoe,boatbuilding,boat_shipbuilding,riverbank,mt_wood_aspen;mt_wood_pine,tl_axe_carpenter;tl_adze_boat;tl_auger_spoon;tl_chisel,иногда распаривание для развода бортов (аналогия),pr:dugout_boat,крупная щепа,master,weeks,2,"ствол валят зимой, долбят весной-летом",пробитое дно;трещина по ядру,неравная толщина бортов;сквозная трещина,Нужен толстый прямой ствол; долбят топором и теслом. Контрольные сверлёные отверстия для толщины — аналогия.,,,claim:population-wood-boat,src:dubrovin2000-transport;src:ethno-analogy,C,candidate,"Однодеревки в Новгороде — по Дубровину (класс), способ — аналогия."
pc_boat_repair,Ремонт речного судна,boat repair,boatbuilding,boat_shipbuilding,river_wharf,pr:damaged_boat;pr:hewn_board;mt_hemp;mt_pine_pitch;mt_iron,tl_adze_boat;tl_auger_spoon;tl_caulking_iron;tl_pitch_pot;tl_mallet,разогрев пека,pr:plank_boat,старая пакля;гнилые доски,trained,days,3,в тёплое сухое время на берегу; зимой лодки лежат,течь не найдена;новая доска не встала,сырость внутри после спуска,Обычная работа у пристани; железные скобы для ремонта судов найдены в прибрежном раскопе.,,,claim:household-boat-repair-clamp;claim:final-practical-wet-wooden-hull-or-boat-seam-needs-local-inspection-before-repair-or-travel;claim:final-practical-wet-gear-and-hull-care-compete-for-space-time-and-dry-work-area,src:dubrovin2000-transport,A,candidate,
pc_wood_turning,Точение деревянной посуды,wood turning of vessels,woodworking_fine,wood_turning_carving,ordinary_workshop,mt_wood_birch;mt_wood_maple,tl_axe_carpenter;tl_adze;tl_lathe;tl_turning_hook;tl_gouge;tl_carving_knife,нет,pr:turned_vessel,стружка;огрызки-центры;треснувшие заготовки,master,days,3,заготовки из сырой древесины сушат медленно,заготовка треснула при сушке;прорезано дно,радиальные трещины;дыра в дне,Нужен станок и токарь; 25+ типов точёной посуды XII в. Простые ложки и ковши — резьбой без станка (household).,,,claim:household-wooden-tableware;claim:household-utensil-wood;claim:work-waste-context;wk:craft_technology:woodworked-objects-and-waste,src:kolchin1957-city;src:kolchin1968-wood,B,candidate,
pc_cooperage,"Бондарное дело: клёпаная кадь, ведро, бочонок",cooperage,cooperage,cooperage_wooden_vessels,ordinary_workshop,mt_wood_oak;mt_wood_pine;mt_wood_willow,tl_axe_carpenter;tl_drawknife;tl_cooper_croze;tl_mallet;tl_wedge;tl_workhorse,иногда прогрев для гибки клёпок (аналогия),pr:stave_vessel,стружка;бракованные клёпки,master,days,3,круглый год,течь по стыкам;обруч лопнул,мокрые полосы по стыкам клёпок,Бондарные скобели и пазники — в перечне инструментов (Колчин 1957); деревянные обручи из ивы или других прутьев.,,,claim:household-utensil-wood,src:kolchin1957-city;src:matcult-catalog-v1,B,candidate,
pc_net_making,Вязание и оснастка рыболовной сети,net making and rigging,fishing,rope_net_mat,fishing_camp,mt_hemp;mt_flax;mt_birch_bark;mt_bark_pine;mt_wood_generic;mt_fieldstone;mt_cordage;mt_bast_linden,tl_netting_needle;tl_carving_knife;tl_awl;tl_net_float;tl_net_sinker,нет,pr:fishing_net,обрывки нити;старые поплавки,trained,weeks,4,вяжут и чинят зимой и в межсезонье; сушат после каждого лова,неровная ячея;узлы расползаются;сеть гниёт от сырости,разная ячея по полотну;дыры;тёмные прелые участки,"Вязание сети — долгая работа; поплавки и грузила делают сами, часто с знаками собственности (артельный лов).",,,claim:population-net-cord;claim:population-net-floats;claim:population-net-weights;claim:population-processes-hemp-net;claim:practical-net-repair;claim:practical-net-dry;claim:final-practical-wet-netting-and-cordage-can-need-inspection-drying-and-repair-before-reuse,src:rybina2015-promysly,A,candidate,
pc_bark_float,Плоский берестяной поплавок со знаком собственности,flat birch-bark net float with owner mark,fishing,bark_birch_work,fishing_camp,mt_birch_bark;mt_bast_linden,tl_carving_knife;tl_awl,нет,pr:net_float,обрезки бересты,household,hour,3,берёста лучше снимается летом,слои расслоились,расползающийся шов,"Нужны острый нож и инструмент для отверстий; знак (рисунок, буквы, надпись) вырезают или процарапывают на одной или обеих сторонах.",@rus/items-property,,claim:population-bark-input;claim:population-bark-cut;claim:population-bark-pierce;claim:population-bark-bast,src:rybina2015-promysly,A,candidate,"Размер ~10×12 см, отверстие в 1–2 см от края."
pc_fish_trap,Плетение верши,weaving a wicker fish trap,fishing,rope_net_mat,riverbank,mt_wood_willow;mt_bast_linden;mt_water,tl_knife_utility;tl_billhook,нет,pr:fish_trap,обрезки прута,household,day,2,прут режут поздней осенью или ранней весной; сухой прут вымачивают,прут ломается при гибке,трещины на изгибах,Простая крестьянская работа; верша названа в грамоте № 248.,,,claim:final-static-b01-willow-selection;claim:final-static-b01-willow-preparation;claim:final-static-b01-willow-limits;claim:macro-b19-dried-willow-rods-can-be-moistened-for-flexible-basket-work;claim:population-rod-input;claim:population-rod-cord,src:rybina2015-promysly;src:ethno-analogy,B,candidate,
pc_self_bow,Охотничий лук из цельного ясеня и стрелы,ash self bow and wooden arrows,hunting,wood_turning_carving,town_courtyard,mt_wood_ash;mt_wood_pine;mt_cordage;mt_bone,tl_axe_household;tl_drawknife;tl_carving_knife;tl_bow_drill,нет (сушка заготовки),pr:hunting_bow,стружка,trained,weeks,3,заготовку рубят зимой и сушат,плечо треснуло при натяге;лук «сел» (потерял силу),трещины на спинке;плечи не возвращаются в форму,"Простой охотничий лук (87 см, второй четверти XIII в.) реалистичен для охотника. Боевой сложносоставной лук — специалист и привоз; права на оружие — weapons_armour.",,,claim:agriculture-fauna-ash-hunting-bow;claim:population-material-wood-loading,src:rybina2015-promysly,B,candidate,Порядок работ — реконструкция; форма лука и стрел — A.
pc_birchbark_letter,Письмо на бересте,writing a birch-bark letter,writing_seals,writing_bookmaking,dwelling_interior,mt_birch_bark;mt_water,tl_knife_utility;tl_stylus,иногда проваривание бересты для мягкости (аналогия),pr:birchbark_letter,обрезки бересты;испорченные листы,trained,minutes,2,круглый год,береста расслоилась;ошибка в тексте,"зачёркивания, прорезы","Грамотность в Новгороде 1230 г. широко распространена среди горожан; писало и береста — дешёвые. Содержание текста (имена, долги, даты) задаётся пулами кода, не LLM; подлинность и сила документа — @rus/social-law.",@rus/social-law,,claim:gramota-73-debt-record,src:kyy1985-applied;src:rybina2015-promysly,A,candidate,
pc_ownership_mark,Нанесение знака собственности или надписи на вещь,marking ownership signs or inscriptions on objects,writing_seals,repair_reuse_recycling,town_courtyard,pr:unmarked_object,tl_carving_knife;tl_stylus;tl_awl,нет,pr:marked_object,стружка,household,minutes,1,круглый год,знак нечитаем,свежие края прорези отличаются по цвету от старой поверхности,"Знаки и надписи вырезают или процарапывают на поплавках, пряслицах, бирках, деревянных цилиндрах-замках. Свежая переделка чужого знака заметна по свежим краям и цвету прорези. Какие знаки и тексты бывают — пулы item_marks_text_pools; чья вещь — @rus/items-property.",@rus/items-property,,claim:work-waste-context,src:rybina2015-promysly;src:kyy1985-applied,B,candidate,Признак свежести прорези — наблюдение общего характера (C).
pc_lime_burning,Обжиг и гашение извести,lime burning and slaking,masonry,lime_mortar_plaster,town_courtyard,mt_limestone;mt_firewood;mt_water;mt_quartz_sand,tl_kiln;tl_spade;tl_bucket;tl_clay_trough,длительный сильный обжиг известняка,pr:lime_mortar,недожог;зола,specialist,weeks,3,строительный сезон; свежая известковая работа боится мороза и дождя,недожог — камень не гасится;ожоги при гашении,твёрдые куски в тесте;раствор осыпается,"Нужна для каменных церквей и штукатурки (Георгиевский собор XII в.); не для обычной избы. Гашение опасно (жар, едкость).",,,claim:lime-transformations;claim:static-nonhydraulic-lime-can-harden-by-carbonation;claim:streak01-lime-weather;claim:streak01-wet-lime-contact;claim:pigment-lime-plaster,src:kyy1985-applied,C,candidate,Устройство известеобжигательной печи для Новгорода XIII в. не выписано.
pc_wax_candle,Восковая свеча из пластины,rolled wax candle,wax,writing_bookmaking,monastery_yard,pr:honeycomb;mt_beeswax;mt_flax;mt_water;mt_firewood,tl_dye_pot;tl_knife_utility,мягкий нагрев воска на воде,pr:wax_candle,вытопки (мерва),trained,hours,3,"воск — после выемки мёда (конец лета, осень)",воск перегрелся и потемнел;свеча коптит — фитиль толстый,тёмный воск с запахом гари;коптящее пламя,Воск — ценный товар (экспорт Новгорода); свечи нужны церкви. Гнёздовский способ — свёрнутая пластина с фитилём из крученых нитей.,,,claim:r7-gentle-warming-of-beeswax-comb-can-separate-some-liquid-wax-from-coarse-debris;claim:candle-rolled-plate;claim:candle-wax-material;claim:candle-thread-wick;claim:trade-economy-wax-lot-quality-can-use-observable-purity-colour-and-sample-limits,src:rybina2015-promysly,B,candidate,Способ по Гнёздову X в. — ранний древнерусский аналог.
pc_timber_felling,Валка леса и вывоз брёвен,timber felling and hauling,carpentry,timber_felling_conversion,conifer_woodland,mt_wood_pine;mt_wood_spruce,tl_axe_carpenter;tl_axe_household;tl_wedge;tl_rope_coil;tl_drawknife,нет,pr:log,сучья;вершины;кора;пни,trained,days,3,"зимой: меньше сока, по снегу брёвна вывозят на санях; весной дороги непроезжи",дерево упало не туда;зажим топора;ствол треснул при падении,расщеп комля;трещины по стволу,"Нужны топор, помощники и право рубить в этом лесу (угодья — social-law). Одно бревно одиночке посильно, сруб — артели.",,,claim:population-material-wood-loading;claim:structural-and-object-wood;claim:transport-sledge-summer-cargo,src:kolchin1957-city;src:ethno-analogy,C,candidate,Зимняя рубка — этнографическая норма; для 1230 г. прямо не засвидетельствована.
pc_street_paving,Устройство и ремонт деревянной мостовой,laying and repairing a timber street pavement,carpentry,roads_bridges_waterfront,town_street,pr:log;pr:hewn_board,tl_axe_carpenter;tl_adze;tl_wedge;tl_mallet;tl_spade,нет,pr:street_pavement,старые плахи;щепа;грязь,trained,weeks,2,"тёплое время; весной мостовые подмывает, и они проседают",плахи расходятся;проседание над гнилыми лагами,"щели и провалы, хлюпающая грязь",Общественная работа улицы или конца; частному лицу — только малый ремонт у своего двора. Новые ярусы клали поверх старых.,,,claim:urban-pavements;claim:novgorod-wooden-urban-elements;claim:urban-wooden-coverings,src:master-technology-v1,B,candidate,"Способ (лаги вдоль, плахи поперёк) — общеизвестная новгородская археология; выборка из отчётов не делалась."
pc_sledge_making,Изготовление саней и полозьев,sledge making,carpentry,cart_sledge_wheel,town_courtyard,mt_wood_birch;mt_wood_oak;mt_bast_linden;mt_rawhide,tl_axe_carpenter;tl_adze;tl_drawknife;tl_auger_spoon;tl_chisel;tl_mallet,распаривание для гибки полозьев (аналогия),pr:sledge,стружка;щепа,trained,days,2,делают к зиме; сани ходят и летом с грузом,полоз треснул;соединения расшатались,трещина на загибе полоза;люфт копыльев,Сани делали из дерева (WK); соединение на нагелях и вязках; упряжь — transport_travel.,,,claim:population-wood-sledge;claim:transport-sledge-summer-cargo;claim:macro-b20-steam-softened-wood-needs-restraint-and-controlled-drying-to-retain-a-bend;claim:r401-wood-drying-can-loosen-wheel-fit,src:dubrovin2000-transport,C,candidate,Конструкция по Дубровину не выписана; шаги — реконструкция.
pc_sewing_mending,"Раскрой, шитьё и починка одежды","cutting, sewing and mending clothes",sewing,sewing_mending,dwelling_interior,pr:woven_cloth;pr:yarn,tl_shears;tl_sewing_needle;tl_knife_utility,нет,pr:garment,обрезки ткани;лоскуты,household,days,2,круглый год; больше зимой,ошибка раскроя — не хватает ткани;шов расходится,"перекос, короткие рукава;рвётся по шву","Домашняя работа; раскрой расходует ткань, обрезки идут на заплаты. Выкройка — у clothing.",,,claim:practical-textile-cut;claim:practical-textile-sew;claim:practical-textile-repair,src:matcult-catalog-v1,B,candidate,
pc_leather_goods,"Кожаные ножны, кошели и ремни","leather sheaths, pouches and belts",shoemaking,leather_cut_sew,ordinary_workshop,mt_leather_veg;mt_flax;mt_beeswax,tl_shoe_knife;tl_awl;tl_leather_needle;tl_wax_block;tl_stamp_leather,нет,pr:leather_small_goods,обрезки кожи,trained,hours,2,круглый год,ножны не по клинку;шов разошёлся,клинок болтается или не входит,"Ножны 15–21 см из одной сложенной полосы, с тиснением с XII в.; ремни 1,7–3,5 см (Изюмова через конспект).",,,claim:population-leather-case;claim:population-leather-straps;claim:practical-leather-cut;claim:practical-leather-stitch,src:izumova1959-leather,B,candidate,
