step_id,pc_id,step_no,action_ru,in_state,extra_inputs,tools,out_state,waste,duration_band,skill_level,checks_and_defects_ru,confidence,source_refs,status
pc_charcoal_pit__s03,pc_charcoal_pit,3,Закрыть отверстия землёй и дерном для обугливания,st:charring_pit,,tl_spade,st:closed_pit,,days,trained,прорыв огня,A,src:kolchin1953-metallurgy,candidate
pc_charcoal_pit__s04,pc_charcoal_pit,4,Остудить и выгрести уголь,st:closed_pit,,tl_spade,mt_charcoal,"зола, головни",hours,trained,недожог,A,src:kolchin1953-metallurgy,candidate
pc_log_building__s01,pc_log_building,1,"Свалить и окорить брёвна, вывезти",mt_wood_pine,mt_wood_spruce,tl_axe_carpenter,st:logs,"кора, сучья",weeks,trained,,B,src:kolchin1957-city;src:kolchin1959-iron,candidate
pc_log_building__s02,pc_log_building,2,Разметить и вырубить чаши и продольный паз,st:logs,,tl_axe_carpenter;tl_adze;tl_marking_cord,st:notched_logs,щепа,days,master,щели в пазах,B,src:kolchin1957-city;src:kolchin1959-iron,candidate
pc_log_building__s03,pc_log_building,3,"Собрать венцы, прокладывая мох или паклю, выверять отвесом",st:notched_logs,mt_moss;mt_hemp,tl_plumb_line;tl_mallet,st:raised_frame,,days,master,перекос,B,src:kolchin1957-city;src:kolchin1959-iron,candidate
pc_log_building__s04,pc_log_building,4,"Прорубить проёмы, вставить косяки на нагелях",st:raised_frame,,tl_saw;tl_chisel;tl_auger_spoon,pr:log_frame,обрезки,days,master,,C,src:kolchin1957-city;src:kolchin1959-iron,candidate
pc_board_hewing__s01,pc_board_hewing,1,"Закрепить бревно, наметить линию раскола по волокну",mt_wood_pine,,tl_workhorse;tl_axe_carpenter,st:marked_log,,minutes,trained,,B,src:master-technology-v1;src:kolchin1957-city,candidate
pc_board_hewing__s02,pc_board_hewing,2,Забить клинья и расколоть на половины и плахи,st:marked_log,,tl_wedge;tl_mallet,st:split_planks,щепа,hours,trained,раскол ушёл в сторону,B,src:master-technology-v1;src:kolchin1957-city,candidate
pc_board_hewing__s03,pc_board_hewing,3,Стесать плахи топором и теслом до ровной доски,st:split_planks,,tl_axe_carpenter;tl_adze,pr:hewn_board,"щепа, горбыль",hours,trained,,B,src:master-technology-v1;src:kolchin1957-city,candidate
pc_plank_boat__s01,pc_plank_boat,1,"Вытесать киль (днище) и штевни, поставить на стапель",pr:hewn_board,mt_wood_oak,tl_axe_carpenter;tl_adze_boat;tl_boat_stocks,st:keel_set,щепа,days,master,,B,src:dubrovin2000-transport,candidate
pc_plank_boat__s02,pc_plank_boat,2,"Распарить и навесить доски обшивки, сверлить и крепить нагелями и гвоздями",st:keel_set,mt_wood_pine;mt_iron,tl_auger_spoon;tl_mallet,st:planked_hull,обрезки досок,weeks,master,трещина доски при гибке,B,src:dubrovin2000-transport,candidate
pc_plank_boat__s03,pc_plank_boat,3,"Поставить шпангоуты, привязать лыковыми вицами или нагелями",st:planked_hull,mt_bast_linden,tl_chisel;tl_auger_spoon,st:framed_hull,,days,master,,A,src:dubrovin2000-transport,candidate
pc_plank_boat__s04,pc_plank_boat,4,"Проконопатить швы просмолённой паклей, прижать планками на скобах",st:framed_hull,mt_hemp;mt_pine_resin,tl_caulking_iron;tl_mallet,st:caulked_hull,пакля,days,trained,,A,src:dubrovin2000-transport,candidate
pc_plank_boat__s05,pc_plank_boat,5,Просмолить корпус горячим пеком,st:caulked_hull,mt_pine_pitch,tl_pitch_pot,pr:plank_boat,капли смолы,days,trained,течь при пробном спуске,B,src:dubrovin2000-transport,candidate
pc_dugout_boat__s01,pc_dugout_boat,1,Свалить и отесать ствол снаружи,mt_wood_aspen,,tl_axe_carpenter,st:hewn_log,щепа,days,master,,C,src:dubrovin2000-transport;src:ethno-analogy,candidate
pc_dugout_boat__s02,pc_dugout_boat,2,"Выдолбить полость теслом, выверяя толщину сверлёными отверстиями",st:hewn_log,,tl_adze_boat;tl_auger_spoon;tl_chisel,pr:dugout_boat,крупная щепа,weeks,master,пробитое дно,C,src:dubrovin2000-transport;src:ethno-analogy,candidate
pc_boat_repair__s01,pc_boat_repair,1,"Вытащить лодку, осмотреть мокрые швы и доски",pr:damaged_boat,,,st:inspected_boat,,hours,trained,,A,src:dubrovin2000-transport,candidate
pc_boat_repair__s02,pc_boat_repair,2,"Вырубить гнилое, вставить доску или скобу",st:inspected_boat,pr:hewn_board;mt_iron,tl_adze_boat;tl_auger_spoon;tl_mallet,st:patched_boat,гнилые доски,days,trained,,A,src:dubrovin2000-transport,candidate
pc_boat_repair__s03,pc_boat_repair,3,Проконопатить и просмолить,st:patched_boat,mt_hemp;mt_pine_pitch,tl_caulking_iron;tl_pitch_pot,pr:plank_boat,старая пакля,hours,trained,,A,src:dubrovin2000-transport,candidate
pc_wood_turning__s01,pc_wood_turning,1,Вытесать болванку из чурака,mt_wood_birch,,tl_axe_carpenter;tl_adze,st:turning_blank,щепа,hours,trained,,B,src:kolchin1957-city;src:kolchin1968-wood,candidate
pc_wood_turning__s02,pc_wood_turning,2,Выточить наружную и внутреннюю форму на станке,st:turning_blank,,tl_lathe;tl_turning_hook,st:turned_rough,стружка,hours,master,прорезанное дно,B,src:kolchin1957-city;src:kolchin1968-wood,candidate
pc_wood_turning__s03,pc_wood_turning,3,"Срезать центр, дорезать и медленно высушить",st:turned_rough,,tl_carving_knife;tl_gouge,pr:turned_vessel,огрызки,days,trained,трещины сушки,C,src:kolchin1957-city;src:kolchin1968-wood,candidate
pc_cooperage__s01,pc_cooperage,1,Расколоть клёпки и выстрогать их скобелем,mt_wood_oak,,tl_wedge;tl_mallet;tl_drawknife,st:staves,стружка,days,master,,B,src:kolchin1957-city;src:matcult-catalog-v1,candidate
pc_cooperage__s02,pc_cooperage,2,"Собрать клёпки в обруч, стянуть временными обручами",st:staves,mt_wood_willow,tl_workhorse,st:raised_vessel,,hours,master,щели,C,src:kolchin1957-city;src:matcult-catalog-v1,candidate
pc_cooperage__s03,pc_cooperage,3,"Вырезать уторы, вставить дно, набить постоянные обручи",st:raised_vessel,,tl_cooper_croze;tl_mallet,pr:stave_vessel,,hours,master,течь,B,src:kolchin1957-city;src:matcult-catalog-v1,candidate
pc_net_making__s01,pc_net_making,1,Ссучить сетную нить из пеньки или льна,mt_hemp,mt_flax,,st:net_twine,,days,household,,B,src:rybina2015-promysly,candidate
pc_net_making__s02,pc_net_making,2,Связать полотно иглой по мерке ячеи,st:net_twine,,tl_netting_needle,st:net_panel,обрывки,weeks,trained,разная ячея,A,src:rybina2015-promysly,candidate
pc_net_making__s03,pc_net_making,3,"Сделать поплавки (скрученные и плоские берестяные, из коры, деревянные)",st:net_panel,mt_birch_bark;mt_bark_pine;mt_wood_generic;mt_bast_linden,tl_carving_knife;tl_awl,st:panel_with_floats,обрезки бересты,hours,household,,A,src:rybina2015-promysly,candidate
pc_net_making__s04,pc_net_making,4,Привязать к подборам поплавки и каменные грузила на ремешках или верёвке,st:panel_with_floats,mt_fieldstone;mt_cordage,tl_net_float;tl_net_sinker,pr:fishing_net,,hours,trained,,A,src:rybina2015-promysly,candidate
pc_bark_float__s01,pc_bark_float,1,Вырезать два и более овальных слоя бересты,mt_birch_bark,,tl_carving_knife,st:bark_layers,обрезки,minutes,household,,A,src:rybina2015-promysly,candidate
pc_bark_float__s02,pc_bark_float,2,"Проколоть отверстия по краю и в центре, сшить лыком",st:bark_layers,mt_bast_linden,tl_awl,st:sewn_float,,minutes,household,,A,src:rybina2015-promysly,candidate
pc_bark_float__s03,pc_bark_float,3,"Прорезать отверстие для крепления, нанести знак собственности",st:sewn_float,,tl_carving_knife,pr:net_float,,minutes,household,,A,src:rybina2015-promysly,candidate
pc_fish_trap__s01,pc_fish_trap,1,"Нарезать и рассортировать ивовый прут, сухой — вымочить",mt_wood_willow,mt_water,tl_billhook,st:rods,обрезки,hours,household,ломкий прут,B,src:rybina2015-promysly;src:ethno-analogy,candidate
pc_fish_trap__s02,pc_fish_trap,2,"Сплести конус с горловиной и обручами, связать лыком",st:rods,mt_bast_linden,tl_knife_utility,pr:fish_trap,обрезки,hours,household,,C,src:rybina2015-promysly;src:ethno-analogy,candidate
pc_self_bow__s01,pc_self_bow,1,Выколоть и высушить ясеневую заготовку,mt_wood_ash,,tl_axe_household,st:bow_stave,щепа,weeks,trained,,C,src:rybina2015-promysly,candidate
pc_self_bow__s02,pc_self_bow,2,"Выстрогать плечи, перехват и рога, слегка отогнуть концы",st:bow_stave,,tl_drawknife;tl_carving_knife,st:shaped_bow,стружка,days,trained,трещины,B,src:rybina2015-promysly,candidate
pc_self_bow__s03,pc_self_bow,3,"Натянуть тетиву, выстрогать стрелы с утолщением или костяным навершием",st:shaped_bow,mt_cordage;mt_wood_pine;mt_bone,tl_carving_knife;tl_bow_drill,pr:hunting_bow,стружка,days,trained,лук сел,B,src:rybina2015-promysly,candidate
pc_birchbark_letter__s01,pc_birchbark_letter,1,"Подготовить лист: снять наружный слой, обрезать",mt_birch_bark,mt_water,tl_knife_utility,st:prepared_bark,обрезки,minutes,household,,B,src:kyy1985-applied;src:rybina2015-promysly,candidate
pc_birchbark_letter__s02,pc_birchbark_letter,2,Процарапать текст писалом,st:prepared_bark,,tl_stylus,pr:birchbark_letter,,minutes,trained,,A,src:kyy1985-applied;src:rybina2015-promysly,candidate
pc_ownership_mark__s01,pc_ownership_mark,1,Вырезать или процарапать знак или надпись,pr:unmarked_object,,tl_carving_knife;tl_stylus;tl_awl,pr:marked_object,стружка,minutes,household,,B,src:rybina2015-promysly;src:kyy1985-applied,candidate
pc_lime_burning__s01,pc_lime_burning,1,"Нагрузить печь известняком и дровами, обжигать",mt_limestone,mt_firewood,tl_kiln,st:quicklime,"зола, недожог",days,specialist,,C,src:kyy1985-applied,candidate
pc_lime_burning__s02,pc_lime_burning,2,"Гасить водой в яме или корыте, выдерживать",st:quicklime,mt_water,tl_clay_trough;tl_bucket,st:slaked_lime,пар,weeks,specialist,"ожоги, куски",B,src:kyy1985-applied,candidate
pc_lime_burning__s03,pc_lime_burning,3,Замешать с песком,st:slaked_lime,mt_quartz_sand,tl_spade;tl_clay_trough,pr:lime_mortar,,hours,trained,,C,src:kyy1985-applied,candidate
pc_wax_candle__s01,pc_wax_candle,1,Мягко растопить соты и отделить воск от мусора,pr:honeycomb,mt_water;mt_firewood,tl_dye_pot,st:clean_wax,мерва,hours,trained,перегрев,B,src:rybina2015-promysly,candidate
pc_wax_candle__s02,pc_wax_candle,2,Раскатать тёплую пластину воска,st:clean_wax,,tl_knife_utility,st:wax_sheet,,minutes,trained,,B,src:rybina2015-promysly,candidate
pc_wax_candle__s03,pc_wax_candle,3,"Скрутить фитиль из нитей, свернуть пластину вокруг него, прижать края",st:wax_sheet,mt_flax,,pr:wax_candle,,minutes,trained,коптит,A,src:rybina2015-promysly,candidate
pc_timber_felling__s01,pc_timber_felling,1,"Выбрать прямое дерево, подрубить и свалить",mt_wood_pine,mt_wood_spruce,tl_axe_carpenter;tl_wedge,st:felled_tree,щепа,hours,trained,расщеп комля,C,src:kolchin1957-city;src:ethno-analogy,candidate
pc_timber_felling__s02,pc_timber_felling,2,"Обрубить сучья и вершину, окорить",st:felled_tree,,tl_axe_household;tl_drawknife,st:trimmed_log,"сучья, кора",hours,household,,C,src:kolchin1957-city;src:ethno-analogy,candidate
pc_timber_felling__s03,pc_timber_felling,3,Вывезти бревно волоком или на санях,st:trimmed_log,,tl_rope_coil,pr:log,,day,household,,C,src:kolchin1957-city;src:ethno-analogy,candidate
pc_street_paving__s01,pc_street_paving,1,Уложить продольные лаги на выровненный грунт или старую мостовую,pr:log,,tl_spade;tl_axe_carpenter,st:laid_sleepers,грязь,days,trained,,B,src:master-technology-v1,candidate
pc_street_paving__s02,pc_street_paving,2,Настелить поперёк расколотые плахи плоской стороной вверх,st:laid_sleepers,pr:hewn_board,tl_adze;tl_mallet,pr:street_pavement,"щепа, старые плахи",days,trained,щели,B,src:master-technology-v1,candidate
pc_sledge_making__s01,pc_sledge_making,1,Вытесать и согнуть полозья,mt_wood_birch,,tl_axe_carpenter;tl_adze;tl_drawknife,st:runners,стружка,days,trained,трещина на загибе,C,src:dubrovin2000-transport,candidate
pc_sledge_making__s02,pc_sledge_making,2,"Врезать копылья, наложить настил, связать и сшить нагелями",st:runners,mt_wood_oak;mt_bast_linden;mt_rawhide,tl_auger_spoon;tl_chisel;tl_mallet,pr:sledge,щепа,days,trained,люфт,C,src:dubrovin2000-transport,candidate
pc_sewing_mending__s01,pc_sewing_mending,1,Разметить и раскроить полотно на детали,pr:woven_cloth,,tl_shears;tl_knife_utility,st:cut_pieces,обрезки,hours,household,,A,src:matcult-catalog-v1,candidate
pc_sewing_mending__s02,pc_sewing_mending,2,"Сшить детали, подрубить края, вшить ластовицы",st:cut_pieces,pr:yarn,tl_sewing_needle,pr:garment,лоскуты,days,household,расходящийся шов,A,src:matcult-catalog-v1,candidate
pc_leather_goods__s01,pc_leather_goods,1,"Раскроить полосу или детали по вещи (клинку, поясу)",mt_leather_veg,,tl_shoe_knife,st:cut_leather,обрезки,hour,trained,,B,src:izumova1959-leather,candidate
pc_leather_goods__s02,pc_leather_goods,2,"Сшить навощённой нитью, оттиснуть узор",st:cut_leather,mt_flax;mt_beeswax,tl_awl;tl_leather_needle;tl_wax_block;tl_stamp_leather,pr:leather_small_goods,,hours,trained,расходящийся шов,B,src:izumova1959-leather,candidate
