item_id,name_ru,alt_names_ru,gender_scope,category,subcategory,description_ru,who_wore,social_scope,role_scope,season_scope,region_scope,period_scope,materials,colors,status_markers,historical_confidence,evidence_basis,source_ids,image_refs,do_not_confuse_with,notes_for_image_generation
GF010,Шёлковая кайма или нашивная отделка женской одежды,шёлковая отделка,female,garment_female,trim,"Редкая импортная отделка по краю горловины, рукава, подола или головного убора; вероятнее локальная вставка, чем цельное шёлковое платье.",знатные и очень богатые женщины,элита,знатная женщина | богатая купчиха,торжественный выход,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шёлк | редко золотная нить,красный | синий | зелёный | золотистый,импортная ткань; тонкость; блеск; очень ограниченное использование,B,Археологические импортные ткани и богатые женские комплексы; расположение на одежде реконструируется.,SRC008 | SRC010 | SRC032 | SRC043,IMG_SHEET_04 | IMG_SHEET_07,сплошным парчовым сарафаном или платьем ренессансного типа,"Использовать как небольшую кайму, не как основной материал всей одежды."
GF011,Красная женская ткань/одежда из приданого,красное платье — только как визуальная реконструкция,female,garment_female,documented_color,Письменно подтверждённая красная категория ткани или одежды в женском имуществе; точный предмет и крой неясны.,женщина из семьи с приданым,средний или обеспеченный слой,замужняя горожанка | девушка из обеспеченной семьи,не определено,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть или растительное полотно — не определено,мареновый красный | кирпично-красный | тёмно-красный,,C,Берестяная грамота №429. Исходная детализация уверенности: A для цвета/наличия; C для формы.,SRC016,IMG_SHEET_04 | IMG_SHEET_07,точно реконструированным красным платьем определённого кроя,"Безопасно использовать красный как цвет одной из деталей/одежд; форму брать из B-реконструкции, а не приписывать грамоте."
GF012,Белая женская ткань/одежда из приданого,белёная одежда — осторожно,female,garment_female,documented_color,"Письменно подтверждённая белая категория ткани или одежды; вероятна выбеленная льняная вещь, но это не доказанная идентификация.",женщина из семьи с приданым,средний или обеспеченный слой,замужняя горожанка | девушка,не определено,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён — вероятно | возможна шерсть,молочно-белый | слоновая кость,,B,Берестяная грамота №429 и текстильные данные. Исходная детализация уверенности: A для цветового термина; C для материала/формы.,SRC016 | SRC008,IMG_SHEET_04 | IMG_SHEET_07,оптически белой современной тканью,"Выбеленный средневековый лён скорее молочный/слоновая кость, не холодный снежно-белый."
GF013,Поясная клетчатая/полосатая женская одежда типа понёвы — гипотеза,понёва — спорная реконструкция,female,garment_female,waist_garment_hypothesis,Гипотетическая поясная одежда из шерстяного полотнища поверх рубахи; присутствие и форма в Новгороде около 1230 не доказаны.,возможные сельские или региональные группы — только в экспериментальной реконструкции,не определено,осторожная альтернативная реконструкция,круглый год,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть,приглушённая клетка или полосы — только при конкретном обосновании,,C,"Спорная научная реконструкция, не прямой новгородский комплект.",SRC038 | SRC007,IMG_SHEET_04,"этнографической понёвой XIX века, механически перенесённой в XIII век",Не использовать в базовом образе. Допускать только как явно помеченный C-вариант без позднего орнамента.
GF014,Дорожная женская накидка из плотной шерсти,дорожный плащ,female,garment_female,travel_cloak,"Функциональная шерстяная накидка для дороги, лодки и непогоды поверх длинной одежды и головного покрова.","путницы, торговки, женщины в обозе или паломничестве",широкий диапазон,путница | торговка | паломница,весна | осень | зима,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,плотная шерсть,бурый | серый | тёмный натуральный,,B,Плащи и шерстяные ткани подтверждены; конкретный женский дорожный вариант функционально реконструируется.,SRC007 | SRC008 | SRC015,IMG_SHEET_03 | IMG_SHEET_04,фэнтезийным плащом-накидкой с меховой опушкой по всему краю,Головной убор женщины остаётся под накидкой; для замужней не показывать случайно полностью распущенные волосы.
GC001,Детская длинная рубаха/сорочица,детская рубаха,child,garment_children,base_layer,Уменьшенная по размеру практичная рубаха; у маленьких детей могла быть основным видимым слоем в тёплую погоду.,мальчики и девочки,все слои,ребёнок,лето | круглый год как нижний слой,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | конопля,небелёный | молочно-белый,,B,"Детские вещи представлены в новгородских коллекциях, растительные ткани и взрослые формы подтверждены; детский крой реконструируется.",SRC003 | SRC008 | SRC013,IMG_SHEET_04,миниатюрным взрослым парадным костюмом или современной детской рубашкой,"Минимум отделки, свободный крой, следы активного использования."
GC002,Детская шерстяная верхняя одежда,детское платье/туника — описательно,child,garment_children,middle_layer,Уменьшенный шерстяной верхний слой поверх рубахи; у мальчиков и девочек раннего возраста силуэты могли быть близки.,дети обоих полов,все слои в разном качестве ткани,ребёнок,весна | осень | зима как слой,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть,серый | бурый | коричневый | приглушённый цвет у обеспеченных,,B,"Археологический текстиль, детские находки и масштабирование функциональных взрослых форм.",SRC003 | SRC007 | SRC008,IMG_SHEET_04,современным детским платьем с застёжкой-молнией или униформой,Не копировать взрослый элитный декор в полном объёме.
GC003,Детские порты,штаны мальчика,child,garment_children,legwear,Простые штаны мальчика старшего дошкольного/подросткового возраста; точная граница возраста и крой не установлены.,мальчики,все слои,мальчик | подросток,круглый год,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | шерсть,небелёный | серый | коричневый,,B,Взрослая мужская форма и общие детские аналогии; прямой цельный новгородский комплект слаб.,SRC006 | SRC034,IMG_SHEET_04,современными брюками,"Простой свободный крой, без гульфика и карманов современного вида."
GC004,Детский шерстяной плащ/накидка,детская накидка,child,garment_children,cloak,Небольшая шерстяная накидка для защиты ребёнка от холода и ветра; прямое подтверждение формы ограничено.,дети обоих полов,семьи с доступом к достаточному текстилю,ребёнок в дороге | городской ребёнок,весна | осень | зима поверх слоёв,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть,серый | бурый | приглушённый цвет,,C,Функциональная реконструкция на базе взрослых плащей и детского археологического контекста.,SRC003 | SRC015,IMG_SHEET_04,миниатюрным фэнтезийным плащом героя,Очень простой крой и одна застёжка/завязка.
GC005,Детский меховой зимний слой,детский кожушок,child,garment_children,winter_outerwear,"Тёплая меховая одежда ребёнка, вероятно близкая по принципу к взрослому кожуху, но уменьшенная и проще.",дети обоих полов,широкий диапазон; качество меха зависело от семьи,ребёнок зимой,зима,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,овчина | доступный мех,бурый | серый | натуральный мех,,B,Меховые одежды и детские погребения подтверждены; конкретная форма реконструируется.,SRC013 | SRC016 | SRC020,IMG_SHEET_04,современным комбинезоном или меховой «варварской» накидкой,Мех главным образом внутрь; простые завязки.
GC006,Детский пояс,поясок,child,garment_children,belt,Текстильный или кожаный пояс для поддержания одежды и подвешивания мелкой безопасной вещи у старших детей.,дети старшего возраста,широкий диапазон,ребёнок | подросток,круглый год,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,тканая тесьма | тонкая кожа,натуральный | приглушённый цвет,,B,Общая одежная практика и археология ремней; детская специфика реконструируется.,SRC003 | SRC006,IMG_SHEET_04,воинским поясным набором взрослого,Без оружейных подвесов; допустим маленький мешочек у подростка.
GC007,Детские шерстяные рукавицы,варежки,child,garment_children,handwear,Тёплые рукавицы для северной зимы; прямой новгородский экземпляр около 1230 в базовых источниках не закреплён.,дети,практическая вещь,ребёнок зимой,зима,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть | возможно игольное вязание,серый | коричневый | небелёный,,C,"Климат, навыки изготовления игольновязаных изделий и общие северные аналогии.",SRC001 | SRC007 | SRC034,IMG_SHEET_04,современными трикотажными перчатками,Простая форма варежки без резинки и синтетического трикотажа.
HW001,Мягкая шерстяная мужская шапка,тканевая шапка | колпак — только описательно,male,headwear,male_textile_cap,Невысокая или умеренно высокая мягкая шапка из шерстяной ткани; конкретный силуэт мог различаться.,городские и сельские мужчины,широкий диапазон,горожанин | ремесленник | крестьянин | купец,весна | осень | прохладное лето,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть | возможна льняная подкладка,серый | бурый | коричневый | приглушённый красный/синий у обеспеченных,,B,"Письменное упоминание шапки в поздне-XIII описи, иконография и общие археологические аналогии; точный крой около 1230 реконструируется.",SRC019 | SRC025 | SRC043,IMG_SHEET_02,высокой карикатурной меховой шапкой или поздним мурмолкой/горлатной шапкой,Неброский мягкий силуэт; не делать одинаковой у всех мужчин.
HW002,Простая войлочная шапка,войлочный колпак,male,headwear,male_felt_cap,"Формованная или сшитая шапка из войлока; технологически правдоподобна, но прямая датировка новгородского типа около 1230 слабее, чем у обувных войлочных деталей.","работники, путники, сельские мужчины",небогатый и средний слой,крестьянин | ремесленник | путник,осень | зима | весна,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,войлок,серый | бурый | натуральный,,C,Войлок подтверждён в обувных принадлежностях и северной материальной культуре; конкретная форма шапки для 1230 требует осторожности.,SRC001 | SRC007 | SRC034,IMG_SHEET_02,остроконечным фэнтезийным колпаком или этнографической шапкой позднего времени,"Использовать как редкий практический вариант, не как основной городской головной убор."
HW003,Мужская меховая зимняя шапка,меховая шапка,male,headwear,male_fur_cap,Небольшая тёплая шапка из меха или с меховой подкладкой; форма могла быть простой округлой или колпаковидной.,мужчины всех слоёв зимой,вид меха и отделка различали статус,горожанин | крестьянин | купец | воин вне боя,зима,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,овчина | доступный мех | шерстяной верх — возможно,натуральный мех | бурый | серый,,B,"Меховая экономика, шапка в письменной описи и климат; точный покрой реконструируется.",SRC019 | SRC020 | SRC034,IMG_SHEET_02,огромной высокой горлатной шапкой XVI–XVII вв.,"Компактная и функциональная, без театрального объёма."
HW004,Статусная мужская шапка с меховой опушкой,богатая шапка,male,headwear,male_status_cap,"Аккуратно сшитая тканевая шапка с ограниченной меховой отделкой; возможный городской элитный вариант, но без поздних высоких форм.","богатые купцы, бояре, старшие дружинники",богатые и элита,купец | боярин | старший дружинник,осень | зима | парадный выход,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,тонкая шерсть | меховая опушка | шёлковая кайма — редко,тёмно-синий | красный | бурый | зелёный,тонкая ткань; небольшой дорогой мех; чистая посадка,C,"Статусные ткани, мех и иконографические аналогии; конкретный новгородский образ первой половины XIII в. не закреплён цельной находкой.",SRC010 | SRC019 | SRC043,IMG_SHEET_02 | IMG_SHEET_08,горлатной шапкой или шапкой Мономаха,Низкая/средняя высота; опушка узкая.
HW005,Льняная повязка или головной плат для работы,налобная повязка | рабочий головной плат,mixed,headwear,work_headcloth,Полоса или небольшой плат для удержания волос и пота во время работы; прямое новгородское свидетельство конкретной формы ограничено.,"ремесленники и ремесленницы, работники двора",рабочий элемент,ремесленник | ремесленница | подёнщик,лето | работа в помещении,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён,небелёный | молочно-белый | серый,,C,Функциональная реконструкция и растительный текстиль.,SRC008 | SRC031,IMG_SHEET_02 | IMG_SHEET_08,банданой современного кроя,Простая узкая полоса или завязанный плат; не использовать как этнический маркер.
HW006,Женский нижний головной чепец/повой,подубрусник | нижний головной убор — термин осторожный,female,headwear,married_under_cap,"Плотно прилегающий тканевый слой, собирающий волосы замужней женщины под покрывалом. Названия и точный крой для Новгорода 1230 дискуссионны.",прежде всего замужние женщины,широкий диапазон,замужняя горожанка | крестьянка | знатная женщина,круглый год,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | тонкая шерсть — возможно,белёный | небелёный | светлый,,C,"Иконография покрытых женских волос, письменные головные элементы и общедревнерусская реконструкция; форма не доказана единым новгородским экземпляром. Исходная детализация уверенности: B–C.",SRC016 | SRC025 | SRC043 | SRC049,IMG_SHEET_02 | IMG_SHEET_04,кокошником или высоким кичкообразным убором позднего времени,"Низкий, прилегающий, почти не виден под покрывалом."
HW007,Женское головное покрывало,убрус | плат | покров,female,headwear,married_veil,"Длинный или средний по длине тканевый покров поверх собранных волос/нижнего чепца; мог закрывать голову, шею и плечи.","замужние женщины, а в церковном/дорожном контексте и другие взрослые женщины",все слои в разных тканях,замужняя горожанка | крестьянка | знатная женщина | паломница,круглый год,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | тонкая шерсть | редко шёлковая кайма,молочно-белый | небелёный | серый | приглушённый цвет у богатых,,B,"Иконография близкой эпохи, женские головные элементы и текстиль; способ намотки варьировал.",SRC016 | SRC025 | SRC043,IMG_SHEET_02 | IMG_SHEET_04,"поздним кокошником, павой или современным платком с цветочным принтом","Натуральные складки, отсутствие фабричного узора; волосы замужней женщины в основном закрыты."
HW008,Женская налобная повязка/очелье,очелье | головная лента,female,headwear,headband,Текстильная или комбинированная повязка вокруг головы; могла фиксировать покрывало или служить видимой частью убора.,девушки и женщины; конкретная форма зависела от статуса и семейного положения,от простой ленты до украшенной,девушка | замужняя женщина | знатная женщина,круглый год,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,льняная/шерстяная тесьма | металлические накладки — у дорогих,красный | белый | синий | натуральный,,B,"Женские головные элементы с лентами в грамоте №429, накладки на одежду/убор и общие аналогии.",SRC005 | SRC016 | SRC032,IMG_SHEET_02 | IMG_SHEET_04,высоким жёстким кокошником,Низкая горизонтальная повязка; декоративные накладки редки и не образуют корону.
HW009,Головной убор с лентами из женского приданого — тип неясен,женский головной элемент с лентами,female,headwear,documented_uncertain,"Письменно засвидетельствованная категория женских головных элементов с лентами, но точная форма и древнерусский термин интерпретируются неоднозначно.",женщина из обеспеченной семьи,"приданое, вероятно средний/богатый слой",девушка | замужняя женщина,не определено,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,ткань | ленты | возможны металлические детали,цветные ленты,,C,Берестяная грамота №429. Исходная детализация уверенности: A для наличия; C для формы.,SRC016,IMG_SHEET_02,точно известным кокошником или венцом,В генерации использовать только как низкую повязку/мягкий убор; не приписывать жёсткую архитектурную форму.
HW010,Девичья лента или мягкое очелье,девичья повязка,female,headwear,maiden_headband,"Невысокая лента/повязка вокруг головы, оставляющая волосы или косы более открытыми, чем у замужней женщины.",незамужние девушки,широкий диапазон,девушка,круглый год,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,тканая тесьма | лён | шерсть | редко металлические подвески/накладки,красный | синий | белый | натуральный,,B,"Женские ленты в письменном источнике, украшения и общие древнерусские реконструкции.",SRC016 | SRC032,IMG_SHEET_02 | IMG_SHEET_04,поздним высоким венцом или кокошником,Не делать волосы идеально распущенными по современному; одна или две косы правдоподобнее.
HW011,Женская зимняя меховая шапка поверх нижнего убора,зимний женский головной убор,female,headwear,female_winter_cap,"Компактная меховая или мехом подбитая шапка, надеваемая поверх собранных и закрытых волос; конкретная форма реконструируется.",женщины зимой,все слои в разном качестве меха,городская женщина | крестьянка | путница,зима,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,овчина | мех | шерстяной верх,натуральный мех | бурый | серый,,B,"Климат, меховые одежды и общие северные аналогии; прямой цельный новгородский экземпляр головного убора около 1230 не закреплён.",SRC016 | SRC020 | SRC034,IMG_SHEET_02 | IMG_SHEET_04,высокой боярской меховой шапкой или «русской красавицей» XIX века,Под шапкой у замужней женщины виден край светлого головного полотна.
HW012,Мягкий тканевый чепец девушки/женщины,тканевая шапочка,female,headwear,soft_cap,"Невысокая мягкая шапочка или сетчатый/тканевый сбор волос; форма возможна, но новгородская привязка около 1230 неполна.",женщины и девушки в бытовом контексте,не определено,городская женщина | ремесленница,в помещении | тёплая погода,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | шерсть,белёный | небелёный | приглушённый,,C,Иконографические и сравнительные средневековые формы; прямой предмет не установлен.,SRC025 | SRC043,IMG_SHEET_02,ренессансным европейским чепцом или поздним повойником,Использовать редко и неброско.
HW013,Монашеский капюшон/куколь общего типа,монашеский головной покров,unisex,headwear,monastic_hood,"Головной покров монаха или монахини, связанный с монашеской одеждой; точная русская форма первой половины XIII в. требует осторожности.",монахи и монахини,церковный статус,монах | монахиня,круглый год,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,шерсть | лён,тёмный натуральный | бурый | серый; не обязательно угольно-чёрный,,C,Иконография и монастырский контекст; цвет и крой не следует выводить из поздней униформы. Исходная детализация уверенности: B–C.,SRC025 | SRC027 | SRC043,IMG_SHEET_02 | IMG_SHEET_08,поздней строго стандартизованной монашеской одеждой или готическим фантазийным капюшоном,"Матовая шерсть, простой силуэт, минимум декоративности."
HW014,Архиерейская митра раннего типа — литургическая,митра,male,headwear,clerical_liturgical,Редкий богослужебный головной убор епископа; форма в XIII в. не совпадает автоматически с поздней высокой коронообразной митрой.,епископ/архиепископ в богослужении,высшее духовенство,архиепископ | епископ,литургия,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,ткань | шёлк | небольшая вышивка/украшения,светлый | золотистая отделка | красный/синий,,C,Византийско-древнерусская церковная иконография; локальная форма около 1230 требует профильного исследования.,SRC025 | SRC043,IMG_SHEET_02,высокой русской митрой Нового времени,Для обычного священника не использовать. Для архиепископа — низкая ранняя форма и строгая иконографическая оговорка.
HW015,Стёганый или войлочный подшлемник,мягкий подшлемный колпак,male,headwear,under_helmet,Мягкий слой под металлическим шлемом для посадки и амортизации; его толщина и конструкция около 1230 реконструируются.,профессиональные воины и часть обеспеченного ополчения,военное снаряжение,дружинник | конный воин | ополченец с шлемом,бой | поход,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | шерсть | войлок | набивка — умеренная,небелёный | серый | бурый,,C,Функциональная необходимость и общие средневековые аналогии; новгородские органические экземпляры не дают универсальной формы. Исходная детализация уверенности: B–C.,SRC023 | SRC006,IMG_SHEET_05,"толстым современным стёганым капюшоном, выходящим огромными валиками из-под шлема",Тонкий функциональный слой; не рисовать как самостоятельную яркую броню.
HW016,Детская мягкая тканевая шапочка,детский чепчик — описательно,child,headwear,child_cap,"Небольшая мягкая шапка/чепец для ребёнка, защищающая голову и удерживающая волосы.",маленькие дети обоих полов,широкий диапазон,ребёнок,весна | осень | прохладное лето,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,лён | шерсть,небелёный | молочный | серый,,C,Детский археологический контекст и общие средневековые формы; цельный новгородский тип около 1230 не закреплён.,SRC003 | SRC013,IMG_SHEET_02 | IMG_SHEET_04,современным кружевным чепчиком,Без кружева и фабричной окантовки.
HW017,Детская меховая зимняя шапка,детская зимняя шапка,child,headwear,child_winter_cap,Компактная шапка из меха или мехом внутрь для ребёнка.,дети обоих полов,все слои в разном качестве,ребёнок зимой,зима,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,овчина | мех,натуральный мех | бурый | серый,,B,Климат и меховые одежды; детская форма реконструируется.,SRC013 | SRC016 | SRC020,IMG_SHEET_02 | IMG_SHEET_04,современной ушанкой стандартного кроя,Не рисовать классическую ушанку XX века; простая круглая/колпаковидная форма.
FW001,Поршни простого типа,поршень | простая цельнокроеная кожаная обувь,mixed,footwear,porshen,"Мягкая обувь из сравнительно простого куска кожи, стянутая или закреплённая ремешками; дешёвая и практичная.","мужчины, женщины, работники; также как защитная верхняя обувь",бедный и рабочий слой; не единственная обувь города,подёнщик | крестьянин | ремесленник | рыбак,сухая погода | межсезонье поверх другой обуви — отдельно,Великий Новгород и Новгородская земля; при необходимости близкие древнерусские/североевропейские аналогии отмечены отдельно,около 1230 г.; преимущественно конец XII — первая половина XIII в.,кожа крупного/мелкого рогатого скота,натуральный коричневый | тёмный от грязи/жира,,A,Официальная музейная типология прямо называет простые поршни среди новгородской обуви.,SRC001 | SRC044,IMG_SHEET_01,лаптями; поршни кожаные,"Мягкий округлый нос, видимые сборки/ремешок; не современная подошва."
