fa_id,name_ru,name_ru_alt,name_lat,name_en,class,order,group,category_ref,scope,region_scope,base_frequency_class,base_frequency_basis,presence_1230_confidence,historical_evidence,activity_time,dormant_seasons,season_winter,season_spring,season_summer,season_autumn,rut_period,moult,winter_coat,signs_tracks,signs_droppings,signs_feeding,signs_dens_nests,signs_sounds,signs_smell,behaviour_to_humans,danger_level,products,hunting_methods,hunting_method_refs,wk_refs,habitats,source_refs,confidence,notes,status
fa_m_pygmy_shrew,Малая бурозубка,землеройка,Sorex minutus,Pygmy shrew,Mammalia,Eulipotyphla,small_mammal,fauna.mammal.small_mammal.pygmy_shrew,universal_taxon,novgorod_land,common,Modern mass species (Valday),B,,cathemeral,,активна под снегом,,,,,,,крошечные цепочки следов,,,,тонкий писк,,безвредна,none,,,,,"mixed:c,conif:c,bog:c,edge:m,flood:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
fa_m_water_shrew,Кутора,водяная землеройка,Neomys fodiens,Water shrew,Mammalia,Eulipotyphla,small_mammal,fauna.mammal.small_mammal.water_shrew,universal_taxon,novgorod_land,contextual,"Sporadic, nowhere numerous (SRC_VOLOGDA_MAMM)",B,,cathemeral,,"не спит, ходит под снегом и подо льдом ручьёв",,выводок 4–6,,,,"чёрная спина, серебристое брюхо",,,,норки в берегу,писк,,безвредна,none,,,,,"stream:c,bank:c,lake:m,bog:m",SRC_VOLOGDA_MAMM,B,,candidate
fa_m_bank_vole,Рыжая полёвка,мышь (народн.),Myodes glareolus,Bank vole,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.bank_vole,universal_taxon,novgorod_land,ubiquitous,Modern mass species (Valday),B,,cathemeral,,"под снегом, обгрызает кору у земли",после таяния видны ходы в прошлогодней траве,,запасы семян,весна–осень,,,мелкие следы прыжками у пней,,обгрызенная кора молодых деревьев у земли,норки под корнями,писк,,портит запасы,none,,,,,"mixed:c,broad:c,conif:c,edge:c,margin:m,store:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
fa_m_field_vole,Тёмная полёвка,пашенная полёвка,Microtus agrestis,Field vole,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.field_vole,universal_taxon,novgorod_land,common,Modern mass species (Valday),B,,cathemeral,,"под снегом прокладывает ходы и гнёзда из травы, видимые весной",,,,,,,сеть желобков-ходов в траве после схода снега,,погрызенная трава кучками,шаровидные гнёзда из травы на земле под снегом,писк,,безвредна,none,,,,,"hay:c,flood:c,edge:c,margin:c,bog:m,pasture:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
fa_m_common_vole,Обыкновенная полёвка,мышь полевая (народн.),Microtus arvalis,Common vole,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.common_vole,universal_taxon,novgorod_land,common,Modern mass species (Valday),B,,cathemeral,,"живёт в скирдах, стогах, ометах, под снегом на полях",,в урожайные годы массовые вспышки,переселяется в стога и гумна,,,,тропки между норками,,выеденные колосья,колонии нор на межах,писк,,вредитель хлеба,none,,,,,"field:c,pasture:c,hay:c,margin:c,garden:c,store:m,threshing:c",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
fa_m_water_vole,Водяная полёвка,водяная крыса (народн.),Arvicola amphibius,Water vole,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.water_vole,universal_taxon,novgorod_land,common,Modern mass species (Valday),B,,crepuscular,,"не спит, живёт на запасах корма в норах",в половодье выселяется на сухие места,плавает у берега,"уходит в огороды, делает запасы",,,,тропы вдоль берега,помёт на «кормовых столиках»,скусанные стебли тростника и хвоща кучками,"норы в берегу, выбросы земли",всплеск прыжка в воду,,портит огороды,none,fur,,,,"bank:c,stream:c,lake:c,flood:c,garden:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
fa_m_yellow_necked_mouse,Желтогорлая мышь,лесная мышь (народн.),Apodemus flavicollis,Yellow-necked mouse,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.yellow_necked_mouse,universal_taxon,novgorod_land,contextual,Modern: broadleaf/mixed forest element (Valday),B,,nocturnal,,заходит в постройки,,,запасает орехи и жёлуди,,,,парные следы с полоской хвоста,,выгрызенные лещинные орехи с круглым отверстием,норы под корнями,писк,,безвредна,none,,,,,"broad:c,mixed:c,edge:m,store:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
fa_m_wood_mouse,Лесная мышь,мышь,Apodemus sylvaticus,Wood mouse,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.wood_mouse,universal_taxon,novgorod_land,contextual,"Sporadic, not numerous (SRC_VOLOGDA_MAMM)",B,,nocturnal,,часть зимует в постройках и стогах,,,,,,,парные следы с полоской хвоста,,,норы,писк,,безвредна,none,,,,,"edge:c,mixed:m,broad:m,margin:m,garden:m,store:m",SRC_VOLOGDA_MAMM,B,,candidate
fa_m_striped_field_mouse,Полевая мышь,мышь,Apodemus agrarius,Striped field mouse,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.striped_field_mouse,universal_taxon,novgorod_land,contextual,Present in adjacent Vologda (SRC_VOLOGDA_MAMM); tied to fields,C,,cathemeral,,в скирдах и стогах,,,,,,чёрная полоса по спине,,,,простые норы,писк,,вредит хлебу,none,,,,,"field:c,margin:c,garden:m,flood:m,threshing:m",SRC_VOLOGDA_MAMM,B,Northern expansion with agriculture: C,candidate
fa_m_harvest_mouse,Мышь-малютка,мышь,Micromys minutus,Eurasian harvest mouse,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.harvest_mouse,universal_taxon,novgorod_land,rare,Sporadic finds (SRC_VOLOGDA_MAMM),B,,cathemeral,,в стогах и скирдах,,шаровидные гнёзда на стеблях злаков и осок,,,,,,,,шарик-гнездо из травы на стеблях ржи или осоки,,,безвредна,none,,,,,"field:m,flood:c,margin:m,stream:m",SRC_VOLOGDA_MAMM,B,,candidate
fa_m_house_mouse,Домовая мышь,мышь,Mus musculus,House mouse,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.house_mouse,universal_taxon,novgorod_land,common,Synanthrope in dwellings and stores (SRC_VOLOGDA_MAMM),C,Прямой новгородской находки в прочитанных источниках нет (GAP),nocturnal,,в жилье и амбарах,,часть уходит на огороды и поля,возвращается в дома с холодами,круглый год,,,цепочки следов в муке и пыли,мелкий чёрный помёт по углам и в ларях,прогрызенные мешки и лари,гнёзда в подполье,шорох и писк по ночам,мышиный запах в кладовой,портит запасы,none,,"кошки, давилки",,,"dwelling:c,store:c,outb:c,homestead:m,town:m,church:m",SRC_VOLOGDA_MAMM,B,,candidate
fa_m_birch_mouse,Лесная мышовка,мышовка,Sicista betulina,Northern birch mouse,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.birch_mouse,universal_taxon,novgorod_land,rare,Modern: listed at Valday,B,,crepuscular,winter;autumn,в продолжительной спячке,просыпается в мае,активна,засыпает с конца лета–сентября,,,"чёрная полоса по спине, очень длинный хвост",,,,"гнёзда под корой, в пнях",,,безвредна,none,,,,,"mixed:c,edge:c,bog:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,Dormancy from late summer (SRC_VOLOGDA_MAMM),candidate
fa_m_wood_lemming,Лесной лемминг,лемминг,Myopus schisticolor,Wood lemming,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.wood_lemming,universal_taxon,novgorod_land,rare,Modern Red Book (Valday),B,,cathemeral,,под снегом во мху,,,,,,,,,выеденный мох,ходы во мху,,,безвреден,none,,,,,"conif:c,bog:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP,B,,candidate
fa_m_garden_dormouse,Садовая соня,соня,Eliomys quercinus,Garden dormouse,Mammalia,Rodentia,small_mammal,fauna.mammal.small_mammal.garden_dormouse,universal_taxon,novgorod_land,rare,Only sporadic records in adjacent Vologda (SRC_VOLOGDA_MAMM),C,,nocturnal,winter,в спячке,,,готовится к спячке,,,чёрная «маска» у глаз,,,,гнёзда в дуплах и пнях,свист и ворчание ночью,,безвредна,none,,,,,"mixed:c,broad:c",SRC_VOLOGDA_MAMM,B,Uncertain range; C,candidate
fa_m_whiskered_bat,Усатая ночница,"летучая мышь, нетопырь (др.-рус.)",Myotis mystacinus,Whiskered bat,Mammalia,Chiroptera,bat,fauna.mammal.bat.whiskered_bat,universal_taxon,novgorod_land,contextual,One of few bats in adjacent Vologda (SRC_VOLOGDA_MAMM); Red Book at Valday,B,,nocturnal,winter,"в спячке в погребах, пещерах, подвалах; рано впадает в спячку",вылетает в апреле–мае,"днём под крышами, за наличниками, в дуплах; самка рождает одного детёныша",уходит на зимовку,осень,,,,кучки мелкого крошащегося помёта под местом днёвки,крылья бабочек под присадой,"щели под крышей, дупла","в сумерках слышно шуршание крыльев, тонкий писк",затхлый запах у колоний,безвредна,none,,,,wk:biology_physiology:static-animal-b06-british-bat-activity;claim:static-animal-b06-british-insectivorous-bats-use-echolocation-at-night;claim:static-animal-b06-british-bat-winter-hibernation-sites-need-low-disturbance,"edge:c,broad:c,mixed:m,homestead:m,outb:m,church:m,stream:m",SRC_VOLOGDA_MAMM;SRC_VALDAY_NP;SRC_WK_FAUNA,B,,candidate
fa_m_northern_bat,Северный кожанок,летучая мышь,Eptesicus nilssonii,Northern bat,Mammalia,Chiroptera,bat,fauna.mammal.bat.northern_bat,universal_taxon,novgorod_land,common,Commonest bat of the boreal north (SRC_VOLOGDA_MAMM lists it),B,,nocturnal,winter,"в спячке в подвалах, погребах",вылетает в апреле,"охотится над дорогами, дворами и водой в светлые ночи",уходит на зимовку,осень,,тёмный с золотистыми кончиками,,помёт под кровлей,,"под досками кровли, в щелях построек",шорох крыльев в сумерках,,безвредна,none,,,,claim:static-animal-b06-bat-roost-entries-and-exits-can-be-observed-from-outside,"edge:c,homestead:c,lane:c,outb:c,river:m,lake:m,town:m,church:m,mixed:m",SRC_VOLOGDA_MAMM;SRC_WK_FAUNA,B,,candidate
fa_m_parti_coloured_bat,Двухцветный кожан,летучая мышь,Vespertilio murinus,Parti-coloured bat,Mammalia,Chiroptera,bat,fauna.mammal.bat.parti_coloured_bat,universal_taxon,novgorod_land,contextual,More widespread than whiskered bat in Darwin reserve (SRC_VOLOGDA_MAMM),B,,nocturnal,winter,в спячке,,колонии в постройках,осенний отлёт к югу частью популяции,осень,,"двухцветный, кончики волос белые",,помёт у щелей построек,,щели построек,осенью высокий щебет самцов в сумерках,,безвредна,none,,,,,"edge:c,homestead:m,outb:m,town:m,river:m,lake:m",SRC_VOLOGDA_MAMM,B,,candidate
fa_m_brown_long_eared_bat,Бурый ушан,летучая мышь,Plecotus auritus,Brown long-eared bat,Mammalia,Chiroptera,bat,fauna.mammal.bat.brown_long_eared_bat,universal_taxon,novgorod_land,contextual,Forest-zone bat of tree cavities; regional list not read for this species -> contextual by analogy,C,,nocturnal,winter,"в спячке в погребах, склепах",,"охотится в кронах, снимая насекомых с листьев",,осень,,,,помёт и крылья бабочек под присадой,крылья ночных бабочек на полу построек,"дупла, чердаки",почти неслышен,,безвреден,none,,,,,"mixed:c,broad:c,edge:m,homestead:m,church:m,outb:m",SRC_WK_FAUNA,B,Species not in SRC_VOLOGDA_MAMM list (Vologda had 3 bat species); presence B by general range — verify (GAP),candidate
fa_m_daubentons_bat,Водяная ночница,летучая мышь,Myotis daubentonii,Daubenton's bat,Mammalia,Chiroptera,bat,fauna.mammal.bat.daubentons_bat,universal_taxon,novgorod_land,contextual,Modern Red Book species at Valday (SRC_VALDAY_NP),B,,nocturnal,winter,в спячке в подземельях,,"низко летает над гладкой водой, хватая насекомых с поверхности",,осень,,,,,,"дупла у воды, щели мостов",шорох над водой,,безвредна,none,,,,,"river:c,lake:c,stream:m,bank:m",SRC_VALDAY_NP,B,,candidate
fa_m_ladoga_ringed_seal,Ладожская нерпа,нерпа,Pusa hispida ladogensis,Ladoga ringed seal,Mammalia,Carnivora,marine_mammal,fauna.mammal.marine_mammal.ladoga_ringed_seal,universal_taxon,ladoga_lake,rare,Endemic of Lake Ladoga only; birch-bark mention,B,Нерпа названа один раз в берестяных грамотах (SRC_RYBINA2015); обитает только в Ладожском озере,diurnal,,"во льдах, продухи, щенки в снежных логовищах на льду","линяет, лежит на льду",на камнях в шхерах севера Ладоги,,весна,весна,,продухи во льду,,,снежные логовища на льду,,,пуглива,none,fat;hide;meat,"на льду, сети",n1230:material_item:hnt0015,,lake:c,SRC_RYBINA2015,B,region_id=ladoga_lake only; not in Ильмень/Волхов start territory,candidate
