g4_location_type,title_ru_example,scale_role,v6_row_count,v6_status_counts,place_template_ids,pf_ids,mapping_status,note,source_refs,confidence,status
hut_or_shelter,"изба, шалаш или навес",укрытие и ночлег,92,draft:92,pt_hunting_camp:48;pt_wintering_hut:34;pt_forest_work_camp:10,pf_dwelling_interior;pf_hunting_ground,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=hut_or_shelter,C,candidate
inner_yard,внутренний двор городища,центр движения,5,usable_with_caution:1;draft:4,pt_hillfort_gorodishche:5,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=inner_yard,C,candidate
judgement_hall,судная или приказная изба,"разбирательство, власть",6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_town_courtyard;pf_dwelling_interior,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=judgement_hall,C,candidate
kitchen_service,кухонная и служебная сторона,"слуги, еда, проход",6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_dwelling_interior;pf_outbuildings,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=kitchen_service,C,candidate
klet_and_barn,клеть и малый амбар,"имущество, припасы, замки",18,draft:18,pt_isolated_farmstead:18,pf_outbuildings;pf_cellar_granary,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=klet_and_barn,C,candidate
klet_barn_zone,"клети, амбары и зерновые закрома","хранение, имущественный риск",198,draft:198,pt_village:198,pf_outbuildings;pf_cellar_granary;pf_threshing_barn,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=klet_barn_zone,C,candidate
landing_or_bridge,спуск к пристани или мосту,связь торга с водой/мостом,33,usable_with_caution:6;draft:27,pt_market_place:33,pf_river_wharf;pf_bridge_crossing,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=landing_or_bridge,C,candidate
landing_or_river,"пристань, берег или водное место","вода, лодки, товар",2,usable_with_caution:2,pt_town:2,pf_river_wharf,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=landing_or_river,C,candidate
landing_planks,мостки или земляная пристань,"пересадка, погрузка",195,draft:192;usable_with_caution:3,pt_river_landing:188;pt_boat_landing:7,pf_river_wharf;pf_riverbank,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=landing_planks,C,candidate
livestock_corner,скотный и возовой угол,"возы, скот, шум",33,usable_with_caution:6;draft:27,pt_market_place:33,pf_market_square,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=livestock_corner,C,candidate
main_lane,главная сельская улица,внутренний транзит между дворами,216,draft:206;usable_with_caution:10,pt_village:198;pt_posad_suburb:18,pf_village_lane,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=main_lane,C,candidate
main_street,главная улица,городской транзит,2,usable_with_caution:2,pt_town:2,pf_town_street,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=main_street,C,candidate
market_link,дорога к торгу,экономическая связь,1,usable_with_caution:1,pt_saltworks:1,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=market_link,C,candidate
market_square,торг и площадь,"обмен, толпа, слухи",35,usable_with_caution:8;draft:27,pt_market_place:33;pt_town:2,pf_market_square,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=market_square,C,candidate
master_corner,место старшего мастера,"договоры, цена",3,usable_with_caution:1;draft:2,pt_shipyard_boatyard:3,pf_ordinary_workshop,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=master_corner,C,candidate
master_house,дом/горница держателя,"переговоры, статус",2,draft:2,pt_estate_center:2,pf_dwelling_interior;pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=master_house,C,candidate
master_yard,двор держателя промысла,"право, долги, договоры",1,usable_with_caution:1,pt_saltworks:1,pf_rural_yard;pf_outbuildings,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=master_yard,C,candidate
measure_place,"место мер, весов и пошлин",контроль сделки и права,33,usable_with_caution:6;draft:27,pt_market_place:33,pf_market_square,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=measure_place,C,candidate
meeting_torg_spot,место схода и малого торга,"сбор, обмен, объявления",31,draft:31,pt_pogost_center:21;pt_rural_church_center:10,pf_market_square;pf_churchyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=meeting_torg_spot,C,candidate
merchant_guest_yards,купеческие и гостевые дворы,"иностранные/городские гости, товар",1,usable_with_caution:1,pt_city_major_center:1,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=merchant_guest_yards,C,candidate
merchant_yards,купеческие дворы,договоры и хранение,35,usable_with_caution:8;draft:27,pt_market_place:33;pt_town:2,pf_town_courtyard;pf_market_square,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=merchant_yards,C,candidate
monastery_approach,дорога к монастырю,подъезд и внешний контроль,5,usable_with_caution:3;draft:2,pt_monastery:5,pf_road;pf_monastery_yard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=monastery_approach,C,candidate
nets_and_tackle,сети и снасти,"имущество, ремонт, риск кражи",11,draft:11,pt_fishing_station:7;pt_fish_weir_site:4,pf_fishing_camp,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=nets_and_tackle,C,candidate
north_south_road,северо-южная дорога,главная дорожная ось,21,usable_with_caution:1;draft:20,pt_crossroads:21,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=north_south_road,C,candidate
opposite_landing,противоположный берег,выход после переправы,17,draft:17,pt_ferry_place:17,pf_ferry_landing,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=opposite_landing,C,candidate
opposite_road,выход на противоположную дорогу,продолжение маршрута,108,draft:108,pt_ford_place:108,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=opposite_road,C,candidate
opposite_route,выход на противоположный маршрут,транзит через воду,195,draft:192;usable_with_caution:3,pt_river_landing:188;pt_boat_landing:7,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=opposite_route,C,candidate
outer_bank,вал и ров,"укрепление, обзор, препятствие",5,usable_with_caution:1;draft:4,pt_hillfort_gorodishche:5,pf_town_wall_edge,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=outer_bank,C,candidate
outer_gate,ворота двора власти,контроль доступа,6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=outer_gate,C,candidate
outer_road_exit,выход к окраинной дороге,окружной выход,18,usable_with_caution:10;draft:8,pt_posad_suburb:18,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=outer_road_exit,C,candidate
outgoing_tracks,расходящиеся дорожные следы,выбор дальнейшего маршрута,21,usable_with_caution:1;draft:20,pt_crossroads:21,pf_road;pf_forest_track,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=outgoing_tracks,C,candidate
poor_burnt_edges,"бедные, пустующие и погорелые окраины","окраина, разорение, слухи",1,usable_with_caution:1,pt_city_major_center:1,pf_town_street,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=poor_burnt_edges,C,candidate
poor_edge,окраинные и бедные дворы,"социальный риск, слухи",20,usable_with_caution:12;draft:8,pt_posad_suburb:18;pt_town:2,pf_town_street,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=poor_edge,C,candidate
poor_edge_yards,крайние дворы у околицы,бедные/крайние дворы и слухи,144,draft:144,pt_hamlet:144,pf_peasant_homestead,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=poor_edge_yards,C,candidate
posad_yards,посадские жилые дворы,плотная жилая зона,2,usable_with_caution:2,pt_town:2,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=posad_yards,C,candidate
priest_yard,двор причта,"жильё служителей, переговоры",31,draft:31,pt_pogost_center:21;pt_rural_church_center:10,pf_churchyard;pf_rural_yard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=priest_yard,C,candidate
private_chambers,жилые/частные покои старшего,закрытая зона,6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_dwelling_interior,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=private_chambers,C,candidate
ravine_edge,край оврага или склона,опасный обход,5,usable_with_caution:1;draft:4,pt_hillfort_gorodishche:5,pf_town_wall_edge,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=ravine_edge,C,candidate
refectory,трапезная,"еда, переговоры, порядок",5,usable_with_caution:3;draft:2,pt_monastery:5,pf_monastery_yard;pf_dwelling_interior,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=refectory,C,candidate
repair_shelter,навес ремонта,"работа, мастера",3,usable_with_caution:1;draft:2,pt_shipyard_boatyard:3,pf_ordinary_workshop,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=repair_shelter,C,candidate
resource_line,"тропа к ловушкам, делянке или бортям",связь с ресурсной средой,92,draft:92,pt_hunting_camp:48;pt_wintering_hut:34;pt_forest_work_camp:10,pf_hunting_ground;pf_forest_track,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=resource_line,C,candidate
rich_yards,зажиточные дворы,статусные дворы и охрана,18,usable_with_caution:10;draft:8,pt_posad_suburb:18,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=rich_yards,C,candidate
river_edge,урез воды,"испытание лодок, течение",3,usable_with_caution:1;draft:2,pt_shipyard_boatyard:3,pf_riverbank,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=river_edge,C,candidate
river_exit,водный выход или зимний лёд,сезонный водный/ледовый маршрут,2,usable_with_caution:2,pt_town:2,pf_riverbank;pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=river_exit,C,candidate
river_landings,пристани и спуски Волхова,водный товар и путь,1,usable_with_caution:1,pt_city_major_center:1,pf_river_wharf,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=river_landings,C,candidate
river_or_market_exit,"выход к реке, торгу или мосту",внешняя связь,18,usable_with_caution:10;draft:8,pt_posad_suburb:18,pf_town_street;pf_river_wharf,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=river_or_market_exit,C,candidate
road_approach,сухопутный подход к воде,дорога/тропа к пристани,320,draft:317;usable_with_caution:3,pt_river_landing:188;pt_ford_place:108;pt_ferry_place:17;pt_boat_landing:7,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=road_approach,C,candidate
road_entry,подъезд к соляному месту,вход и вывоз,34,usable_with_caution:7;draft:27,pt_market_place:33;pt_saltworks:1,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=road_entry,C,candidate
road_exit,выход к дальним дорогам,транзит из города,2,usable_with_caution:2,pt_town:2,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=road_exit,C,candidate
road_exits,выходы на дороги,транзитные направления,33,usable_with_caution:6;draft:27,pt_market_place:33,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=road_exits,C,candidate
road_or_landing_exit,"выход к дороге, берегу или пристани",транзитный выход,31,draft:31,pt_pogost_center:21;pt_rural_church_center:10,pf_road;pf_riverbank,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=road_or_landing_exit,C,candidate
road_to_ilmen,выезд к Ильменю и южным путям,дальний южный выход,1,usable_with_caution:1,pt_city_major_center:1,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=road_to_ilmen,C,candidate
road_to_volkhov_north,выезд вверх по Волхову,северный водно-сухопутный путь,1,usable_with_caution:1,pt_city_major_center:1,pf_road,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=road_to_volkhov_north,C,candidate
roadside_shrine,"крест, знак или приметное дерево",ориентир и слухи,21,usable_with_caution:1;draft:20,pt_crossroads:21,pf_road;pf_churchyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=roadside_shrine,C,candidate
salt_storage,соляной склад,"ценность, замки, контроль",1,usable_with_caution:1,pt_saltworks:1,pf_cellar_granary,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=salt_storage,C,candidate
secret_forest_path,лесная тропа от городища,скрытый выход,5,usable_with_caution:1;draft:4,pt_hillfort_gorodishche:5,pf_forest_track,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=secret_forest_path,C,candidate
senior_yard,старший двор,двор старшего хозяина/ответственного,144,draft:144,pt_hamlet:144,pf_peasant_homestead,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=senior_yard,C,candidate
servant_yards,служебные дворы,работники и зависимые,2,draft:2,pt_estate_center:2,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=servant_yards,C,candidate
service_admin_yards,служилые и административные дворы,"суд, распоряжения, стража",1,usable_with_caution:1,pt_city_major_center:1,pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=service_admin_yards,C,candidate
service_yard,хозяйственный двор погоста,"ремонт, скот, телеги",36,draft:33;usable_with_caution:3,pt_pogost_center:21;pt_rural_church_center:10;pt_monastery:5,pf_churchyard;pf_outbuildings,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=service_yard,C,candidate
shallow_marker,место вехи или мелководья,ориентир глубины,108,draft:108,pt_ford_place:108,pf_river_channel,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=shallow_marker,C,candidate
shelter_huts,временные избы или укрытия,люди и ночлег,5,usable_with_caution:1;draft:4,pt_hillfort_gorodishche:5,pf_dwelling_interior,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=shelter_huts,C,candidate
shelter_shed,навес или малый сарай,"ожидание, вещи, сторож",108,draft:108,pt_ford_place:108,pf_outbuildings,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=shelter_shed,C,candidate
shore_approach,подход к рыбному месту,сухопутный вход,14,draft:13;usable_with_caution:1,pt_fishing_station:7;pt_fish_weir_site:4;pt_shipyard_boatyard:3,pf_riverbank;pf_lake_shore;pf_fishing_camp,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=shore_approach,C,candidate
slipway,спуск или ложа лодьи,водный рабочий узел,3,usable_with_caution:1;draft:2,pt_shipyard_boatyard:3,pf_riverbank;pf_ordinary_workshop,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=slipway,C,candidate
small_church_corner,малый церковный или крестовый угол,"приход, клятва, сход",18,usable_with_caution:10;draft:8,pt_posad_suburb:18,pf_churchyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=small_church_corner,C,candidate
sofia_side_spine,уличный остов,западная городская сторона,1,usable_with_caution:1,pt_city_major_center:1,pf_town_street,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=sofia_side_spine,C,candidate
stable_cattle,конюшня и скотный двор,"скот, лошади, шум",2,draft:2,pt_estate_center:2,pf_outbuildings,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=stable_cattle,C,candidate
stable_yard,конюшенный и возовой двор,"лошади, сани, повозки",8,usable_with_caution:6;draft:2,pt_administrative_court:6;pt_town:2,pf_outbuildings;pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=stable_yard,C,candidate
storage_granary_belts,"клети, житницы и складские пояса","запасы, товар, пожарный риск",1,usable_with_caution:1,pt_city_major_center:1,pf_cellar_granary,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=storage_granary_belts,C,candidate
storage_klet,кладовая снастей,"снасти, верёвки, имущество",3,usable_with_caution:1;draft:2,pt_shipyard_boatyard:3,pf_cellar_granary,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=storage_klet,C,candidate
storage_kleti,клети и сборное хранение,"пошлина, оброк, припасы, риск кражи",84,draft:66;usable_with_caution:18,pt_market_place:33;pt_pogost_center:21;pt_posad_suburb:18;pt_rural_church_center:10;pt_town:2,pf_cellar_granary,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=storage_kleti,C,candidate
storage_shed,складская клеть у воды,"товар, сети, замки",206,draft:203;usable_with_caution:3,pt_river_landing:188;pt_fishing_station:7;pt_boat_landing:7;pt_fish_weir_site:4,pf_outbuildings,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=storage_shed,C,candidate
store_shed,склад или клеть,припасы и риск,5,usable_with_caution:1;draft:4,pt_hillfort_gorodishche:5,pf_outbuildings,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=store_shed,C,candidate
store_yard,складской двор,припасы и служебное имущество,6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_cellar_granary;pf_town_courtyard,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=store_yard,C,candidate
storehouses,амбары и клети,"имущество, запасы, замки",5,usable_with_caution:3;draft:2,pt_monastery:5,pf_cellar_granary,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=storehouses,C,candidate
street_connection,"связь с улицей, торгом или детинцем",внешний маршрут,6,usable_with_caution:4;draft:2,pt_administrative_court:6,pf_town_street,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=street_connection,C,candidate
suburban_gardens,окологородные огороды и гумна,пищевой пояс и выходы,1,usable_with_caution:1,pt_city_major_center:1,pf_orchard_garden,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=suburban_gardens,C,candidate
tar_pitch_corner,смоляной и конопатный угол,"запах, огонь, риск",3,usable_with_caution:1;draft:2,pt_shipyard_boatyard:3,pf_ordinary_workshop,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=tar_pitch_corner,C,candidate
threshing_floor,гумно и ток,"зерно, труд, пожарный риск",2,draft:2,pt_estate_center:2,pf_threshing_barn,mapped,,DOCUMENTS/documents-kg/corpus/DOCUMENTS/novgorod_graphify_g1_g4_full/source_tsv/novgorod_g2_g4_70_cells_v6_g4_locations.tsv#g4_location_type=threshing_floor,C,candidate
