kn_id,kind,role_refs,topic,event_ref,carrier_rule,distortion_rule,text_pool_ref,source_refs,confidence,status
kn_profile_group_merchants,knowledge_profile,group_merchants,"Купцы и приказчики | категории: knowledge_prices;knowledge_river_paths;knowledge_neighbors;knowledge_lodging;knowledge_dues;knowledge_war;knowledge_debts;knowledge_work_opportunities",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=скрытые промысловые тропы;домашние дела низких дворов | hide=точный выгодный путь;условия сделки;чужие долги;опасный участок, если выгодно промолчать",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_merchants],C,candidate
kn_profile_group_clergy,knowledge_profile,group_clergy,"Духовенство | категории: knowledge_church_calendar;knowledge_law_custom;knowledge_debts;knowledge_lodging;knowledge_rumors;knowledge_social_address",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=точные торговые выгоды;военные планы | hide=личные долги;семейный конфликт;то, что может навлечь наказание",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_clergy],C,candidate
kn_profile_group_hunters,knowledge_profile,group_hunters,"Охотники и лесные промысловики | категории: knowledge_local_roads;knowledge_danger;knowledge_weather_signs;knowledge_fords_ferries;knowledge_work_opportunities",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=политику города;торговые цены | hide=точный выгодный путь;условия сделки;чужие долги;опасный участок, если выгодно промолчать",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_hunters],C,candidate
kn_profile_group_fishermen,knowledge_profile,group_fishermen,"Рыбаки | категории: knowledge_river_paths;knowledge_fords_ferries;knowledge_weather_signs;knowledge_prices;knowledge_work_opportunities",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=дальние сухопутные дороги;дворовые долги | hide=личные долги;семейный конфликт;то, что может навлечь наказание",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_fishermen],C,candidate
kn_profile_group_boatmen,knowledge_profile,group_boatmen,"Лодочники и перевозчики | категории: knowledge_river_paths;knowledge_fords_ferries;knowledge_prices;knowledge_dues;knowledge_lodging;knowledge_weather_signs",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=лесные тайники;чужие домашние дела | hide=точный выгодный путь;условия сделки;чужие долги;опасный участок, если выгодно промолчать",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_boatmen],C,candidate
kn_profile_group_guides,knowledge_profile,group_guides,"Проводники | категории: knowledge_local_roads;knowledge_fords_ferries;knowledge_seasonal_closures;knowledge_danger;knowledge_lodging;knowledge_neighbors",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=скрытые политические причины | hide=точный выгодный путь;условия сделки;чужие долги;опасный участок, если выгодно промолчать",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_guides],C,candidate
kn_profile_group_boyars,knowledge_profile,group_boyars,"Бояре и старшие люди | категории: knowledge_elites;knowledge_law_custom;knowledge_dues;knowledge_debts;knowledge_war;knowledge_social_address",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=низовая фактическая бедность может быть невидима;полевые детали пути без слуг | hide=личные долги;семейный конфликт;то, что может навлечь наказание",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_boyars],C,candidate
kn_profile_group_princely_people,knowledge_profile,group_princely_people,"Княжьи люди и дружинники | категории: knowledge_war;knowledge_dues;knowledge_danger;knowledge_elites;knowledge_law_custom;knowledge_social_address",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=местные родственные сети;промысловые хозяйственные детали | hide=личные долги;семейный конфликт;то, что может навлечь наказание",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_princely_people],C,candidate
kn_profile_group_strangers,knowledge_profile,group_strangers,"Пришлые | категории: knowledge_rumors;knowledge_lodging;knowledge_prices",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=местный обычай;родственные связи;точные пути;кто имеет власть | hide=личные долги;семейный конфликт;то, что может навлечь наказание",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_strangers],C,candidate
kn_profile_group_household_women,knowledge_profile,group_household_women,"Хозяйки, вдовы и женщины двора | категории: knowledge_debts;knowledge_property_marks;knowledge_lodging;knowledge_rumors;knowledge_church_calendar;knowledge_prices",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=дальние военные причины;закрытые решения старших | hide=личные долги;семейный конфликт;то, что может навлечь наказание",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_household_women],C,candidate
kn_profile_group_monastery_workers,knowledge_profile,group_monastery_workers,"Монастырские работники | категории: knowledge_church_calendar;knowledge_lodging;knowledge_debts;knowledge_dues;knowledge_work_opportunities;knowledge_property_marks",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=городские политические интриги вне монастыря | hide=личные долги;семейный конфликт;то, что может навлечь наказание",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_monastery_workers],C,candidate
kn_profile_group_dependent_people,knowledge_profile,group_dependent_people,"Холопы, зависимые и работники | категории: knowledge_property_marks;knowledge_rumors;knowledge_elites;knowledge_danger;knowledge_work_opportunities",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=право и дальние причины; могут знать факты двора, но боятся говорить | hide=сведения о хозяине;следы кражи;собственный страх или долг",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_dependent_people],C,candidate
kn_profile_group_children,knowledge_profile,group_children,"Дети и подростки | категории: knowledge_local_roads;knowledge_rumors;knowledge_property_marks;knowledge_danger",,"how_they_know=личный опыт;работа;родня;повторяющиеся разговоры в месте","misunderstand=причины и правовой смысл увиденного | hide=личные долги;семейный конфликт;то, что может навлечь наказание",,rus13tpl novgorod_common_knowledge_v1.json (draft) [group_children],C,candidate
kn_route_group_local_villagers,knowledge_profile,group_local_villagers,Местные деревенские (дорожное знание),,"knows_exact=соседние деревни;погост;ближайший брод;свои поля и покосы | can_guide_for=локальные тропы;броды своей округи","may_lie_or_hide_when=угроза наказания;выгода;чужой статус опасен;путь является промысловой тайной",,rus13tpl novgorod_route_knowledge_rules_v1.json (draft) [group_local_villagers],C,candidate
kn_route_group_townspeople,knowledge_profile,group_townspeople,Горожане (дорожное знание),,"knows_exact=улицы, торг, городские ворота;частые пристани | can_guide_for=городские и пригородные переходы","may_lie_or_hide_when=не хочет связываться с чужим;боится дворовой власти",,rus13tpl novgorod_route_knowledge_rules_v1.json (draft) [group_townspeople],C,candidate
kn_route_group_merchants,knowledge_profile,group_merchants,Купцы и приказчики (дорожное знание),,"knows_exact=основные торговые дороги;крупные пристани;постоялые дворы | can_guide_for=торговые маршруты при оплате и доверии","may_lie_or_hide_when=скрывает выгодную дорогу;не хочет вести низкого статуса",,rus13tpl novgorod_route_knowledge_rules_v1.json (draft) [group_merchants],C,candidate
kn_route_group_hunters_forest_workers,knowledge_profile,group_hunters_forest_workers,Охотники и лесные промысловики (дорожное знание),,"knows_exact=лесные тропы;промысловые станы;звериные переходы | can_guide_for=лес, болото, скрытые тропы","may_lie_or_hide_when=промысловая тайна;не доверяет чужому",,rus13tpl novgorod_route_knowledge_rules_v1.json (draft) [group_hunters_forest_workers],C,candidate
kn_route_group_fishermen_boatmen,knowledge_profile,group_fishermen_boatmen,Рыбаки и лодочники (дорожное знание),,"knows_exact=берега, мели, пристани, перевозы;лёд и вода своей реки | can_guide_for=река, озеро, перевоз","may_lie_or_hide_when=боится воды, погоды или чужого груза",,rus13tpl novgorod_route_knowledge_rules_v1.json (draft) [group_fishermen_boatmen],C,candidate
kn_route_group_clergy_monks,knowledge_profile,group_clergy_monks,Духовенство и монахи (дорожное знание),,"knows_exact=церкви, погосты, монастыри, гостевые пути | can_guide_for=церковные маршруты при причине","may_lie_or_hide_when=не раскрывает монастырское хозяйство;нет благословения старшего",,rus13tpl novgorod_route_knowledge_rules_v1.json (draft) [group_clergy_monks],C,candidate
kn_route_group_princely_boyar_people,knowledge_profile,group_princely_boyar_people,Княжьи и боярские люди (дорожное знание),,"knows_exact=служебные дворы, ворота, охранные пути | can_guide_for=служебные маршруты только при приказе","may_lie_or_hide_when=приказ запрещает;чужой может быть угрозой",,rus13tpl novgorod_route_knowledge_rules_v1.json (draft) [group_princely_boyar_people],C,candidate
kn_route_group_guards,knowledge_profile,group_guards,"Стража ворот, торга и переправы (дорожное знание)",,"knows_exact=свой пост и ближайшие обходы;закрытые проходы | can_guide_for=редко; только по приказу","may_lie_or_hide_when=не имеет права уходить;не доверяет пришлому",,rus13tpl novgorod_route_knowledge_rules_v1.json (draft) [group_guards],C,candidate
kn_route_group_guides,knowledge_profile,group_guides,Проводники (дорожное знание),,"knows_exact=маршруты своего промысла и найма;опасные места;ночлег | can_guide_for=основной профиль; требует платы, доверия или приказа","may_lie_or_hide_when=желает повысить цену;боится ответственности;сезон опасен",,rus13tpl novgorod_route_knowledge_rules_v1.json (draft) [group_guides],C,candidate
kn_route_group_strangers,knowledge_profile,group_strangers,Пришлые (дорожное знание),,knows_exact= | can_guide_for=обычно нет,"may_lie_or_hide_when=сам не знает и делает вид, что знает",,rus13tpl novgorod_route_knowledge_rules_v1.json (draft) [group_strangers],C,candidate
kn_route_group_pilgrims_beggars,knowledge_profile,group_pilgrims_beggars,"Паломники, нищие, уязвимые путники (дорожное знание)",,knows_exact=места недавнего ночлега | can_guide_for=только по уже пройденному пути,"may_lie_or_hide_when=страх;желание получить еду или кров",,rus13tpl novgorod_route_knowledge_rules_v1.json (draft) [group_pilgrims_beggars],C,candidate
kn_literacy_бояре_житьи_люди_владельцы_усадеб_,literacy,бояре/житьи люди (владельцы усадеб),грамотность по роли,,"высокая практическая грамотность; часто сами читают и пишут деловые и долговые тексты",,,"НПЛ/берестяной корпус контекст (S05 gramoty.ru; S06 RNC birchbark corpus; S20) + научный консенсус (Зализняк, Янин о новгородской грамотности); усадьбы Неревского/Троицкого раскопов дают деловую переписку хозяев",B,candidate
kn_literacy_купцы,literacy,купцы,грамотность по роли,,"высокая практическая грамотность; счёт, долговые записи, деловые письма",,,"НПЛ/берестяной корпус контекст (S05 gramoty.ru; S06 RNC birchbark corpus; S20) + научный консенсус (Зализняк, Янин о новгородской грамотности); многочисленные берестяные долговые грамоты и торговые записки",B,candidate
kn_literacy_духовенство,literacy,духовенство,грамотность по роли,,"высокая, включая церковнославянскую книжную грамотность",,,"НПЛ/берестяной корпус контекст (S05 gramoty.ru; S06 RNC birchbark corpus; S20) + научный консенсус (Зализняк, Янин о новгородской грамотности); богослужебные и учебные тексты",B,candidate
kn_literacy_ремесленники,literacy,ремесленники,грамотность по роли,,"практическая грамотность распространена, но неравномерна; короткие деловые записи, метки",,,"НПЛ/берестяной корпус контекст (S05 gramoty.ru; S06 RNC birchbark corpus; S20) + научный консенсус (Зализняк, Янин о новгородской грамотности); берестяные тексты из ремесленных усадеб; надписи-собственности на предметах",B,candidate
kn_literacy_женщины_хозяйки_собственницы,literacy,женщины-хозяйки/собственницы,грамотность по роли,,засвидетельствована практическая грамотность у части женщин (личные и деловые письма),,,"НПЛ/берестяной корпус контекст (S05 gramoty.ru; S06 RNC birchbark corpus; S20) + научный консенсус (Зализняк, Янин о новгородской грамотности); известные берестяные письма женщин-адресантов и адресаток",B,candidate
kn_literacy_дети_подростки_в_грамотных_дворах,literacy,дети/подростки в грамотных дворах,грамотность по роли,,засвидетельствовано обучение письму (учебные упражнения на бересте),,,"НПЛ/берестяной корпус контекст (S05 gramoty.ru; S06 RNC birchbark corpus; S20) + научный консенсус (Зализняк, Янин о новгородской грамотности); знаменитые учебные грамоты мальчика Онфима",B,candidate
kn_literacy_смерды_и_сельские_жители,literacy,смерды и сельские жители,грамотность по роли,,"низкая-неравномерная; преимущественно устная передача, грамотность концентрируется в городе и погостах",,,"НПЛ/берестяной корпус контекст (S05 gramoty.ru; S06 RNC birchbark corpus; S20) + научный консенсус (Зализняк, Янин о новгородской грамотности); рабочая реконструкция по отсутствию сельских берестяных находок сопоставимого объёма",B,candidate
kn_literacy_холопы_челядь,literacy,холопы/челядь,грамотность по роли,,"вероятно низкая; отдельных прямых свидетельств в подборке нет",,,"НПЛ/берестяной корпус контекст (S05 gramoty.ru; S06 RNC birchbark corpus; S20) + научный консенсус (Зализняк, Янин о новгородской грамотности); reconstruction by absence, не прямое свидетельство",B,candidate
kn_genre_кредит_и_сч_т,letter_genre,,кредит и счёт,,"примеры: №73 (долговая запись, 1220–1240)",,item_text_pools:birchbark:кредит_и_сч_т,"sqlite novgorod_1230(1).birchbark_selection [#73], sources=S05 (gramoty.ru)",A,candidate
kn_genre_администрация_суд,letter_genre,,администрация/суд,,"примеры: №147 (письмо подвойского к Филиппу, 1220–1240)",,item_text_pools:birchbark:администрация_суд,"sqlite novgorod_1230(1).birchbark_selection [#147], sources=S05 (gramoty.ru)",A,candidate
kn_genre_кредит,letter_genre,,кредит,,"примеры: №151 (фрагмент долговой записи, 1220–1240); №219 (список долгов, 1200–1220)",,item_text_pools:birchbark:кредит,"sqlite novgorod_1230(1).birchbark_selection [#151,#219], sources=S05 (gramoty.ru)",A,candidate
kn_genre_локальные_общины,letter_genre,,локальные общины,,"примеры: №600 (ситуация среди хотынян, 1220–1240)",,item_text_pools:birchbark:локальные_общины,"sqlite novgorod_1230(1).birchbark_selection [#600], sources=S05 (gramoty.ru)",A,candidate
kn_genre_медицина_и_вера,letter_genre,,медицина и вера,,"примеры: №715 (заговор/молитва от лихорадки, 1220–1240)",,item_text_pools:birchbark:медицина_и_вера,"sqlite novgorod_1230(1).birchbark_selection [#715], sources=S05 (gramoty.ru)",A,candidate
kn_genre_фискальная_география,letter_genre,,фискальная география,,"примеры: №718 (запись погородья с Городца Бежецкого, 1220–1240)",,item_text_pools:birchbark:фискальная_география,"sqlite novgorod_1230(1).birchbark_selection [#718], sources=S05 (gramoty.ru)",A,candidate
kn_genre_межгородские_связи,letter_genre,,межгородские связи,,"примеры: №781 (упоминание Пскова, 1220–1240)",,item_text_pools:birchbark:межгородские_связи,"sqlite novgorod_1230(1).birchbark_selection [#781], sources=S05 (gramoty.ru)",A,candidate
kn_genre_налоги_управление,letter_genre,,налоги/управление,,"примеры: №7 (инструкции сборщикам, 1200–1220)",,item_text_pools:birchbark:налоги_управление,"sqlite novgorod_1230(1).birchbark_selection [#7], sources=S05 (gramoty.ru)",A,candidate
kn_genre_торговля,letter_genre,,торговля,,"примеры: №108 (перечень товаров с ценами, 1200–1220); №Торжок 10 (деловой текст, 1200–1220)",,item_text_pools:birchbark:торговля,"sqlite novgorod_1230(1).birchbark_selection [#108,#Торжок 10], sources=S05 (gramoty.ru)",A,candidate
kn_genre_суд_и_долг,letter_genre,,суд и долг,,"примеры: №112 (требование рассчитаться или явиться на суд в Новгород, 1200–1220)",,item_text_pools:birchbark:суд_и_долг,"sqlite novgorod_1230(1).birchbark_selection [#112], sources=S05 (gramoty.ru)",A,candidate
kn_genre_право_финансы,letter_genre,,право/финансы,,"примеры: №222 (письмо посаднику Гюргию Иванковичу, 1200–1220)",,item_text_pools:birchbark:право_финансы,"sqlite novgorod_1230(1).birchbark_selection [#222], sources=S05 (gramoty.ru)",A,candidate
kn_genre_купеческая_сеть,letter_genre,,купеческая сеть,,"примеры: №439 (торговые инструкции партнёру, 1200–1220)",,item_text_pools:birchbark:купеческая_сеть,"sqlite novgorod_1230(1).birchbark_selection [#439], sources=S05 (gramoty.ru)",A,candidate
kn_genre_торговля_имущество,letter_genre,,торговля/имущество,,"примеры: №722 (опись имущества купца, 1200–1220)",,item_text_pools:birchbark:торговля_имущество,"sqlite novgorod_1230(1).birchbark_selection [#722], sources=S05 (gramoty.ru)",A,candidate
kn_genre_местная_экономика,letter_genre,,местная экономика,,"примеры: №Ст. Русса 53 (натуральная повинность, 1200–1220)",,item_text_pools:birchbark:местная_экономика,"sqlite novgorod_1230(1).birchbark_selection [#Ст. Русса 53], sources=S05 (gramoty.ru)",A,candidate
kn_genre_межгородская_грамотность,letter_genre,,межгородская грамотность,,"примеры: №Ст. Русса 57 (деловое письмо, 1200–1220)",,item_text_pools:birchbark:межгородская_грамотность,"sqlite novgorod_1230(1).birchbark_selection [#Ст. Русса 57], sources=S05 (gramoty.ru)",A,candidate
kn_genre_быт_и_связи,letter_genre,,быт и связи,,"примеры: №Торжок 6 (частное письмо, 1200–1220)",,item_text_pools:birchbark:быт_и_связи,"sqlite novgorod_1230(1).birchbark_selection [#Торжок 6], sources=S05 (gramoty.ru)",A,candidate
kn_genre_локальная_грамотность,letter_genre,,локальная грамотность,,"примеры: №Торжок 16 (частная запись, 1200–1220)",,item_text_pools:birchbark:локальная_грамотность,"sqlite novgorod_1230(1).birchbark_selection [#Торжок 16], sources=S05 (gramoty.ru)",A,candidate
