item_id,name_ru,category,subcategory,description_ru,who_used,social_scope,military_scope,period_from,period_to,materials,construction,dimensions,weight_if_known,wear_and_condition,historical_confidence,evidence_basis,source_ids,anachronism_risk,do_not_confuse_with,generation_policy
WPN0035,Широколезвийная рогатина — охотничье/боевое копьё,weapons,"копья, сулицы и рогатины",Крупный наконечник с широким прочным пером; подходит для крупного зверя и тяжёлого ближнего укола. Конкретная терминология и форма требуют привязки к типу.,"воины, ополчение, охотники",от массового копья до статусного меча,боевое,1180,1260,"железо/сталь, массивное древко",широкое кованое перо с прочной втулкой,крупнее обычного копейного наконечника; древко около 2 м или более,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC045""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0036,Бронебойный гранёный наконечник стрелы,weapons,"лук, стрелы и самострел","Узкий железный наконечник квадратного/ромбического сечения, рассчитанный на концентрированный удар; не гарантирует пробитие любой брони.","лучники, охотники, отдельные профессиональные воины",от массового копья до статусного меча,метательное,1180,1260,железо/сталь,кованый черешковый наконечник,обычно несколько сантиметров,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0037,Тупой костяной или деревянный наконечник стрелы,weapons,"лук, стрелы и самострел",Тупая ударная головка для охоты на мелкую дичь/обучения; применение в конкретном новгородском контексте требует референса.,"лучники, охотники, отдельные профессиональные воины",от массового копья до статусного меча,метательное,1180,1260,кость или твёрдое дерево,точёная/резная головка на древке,малый,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC045""]",высокий: нужен конкретный референс и явная маркировка реконструкции,поздними этнографическими и неосредневековыми формами той же функции,reference_required
WPN0038,Меч с дисковидным или линзовидным навершием,weapons,мечи и ножны,Позднероманская форма рукояти с компактным округлым навершием; для новгородского персонажа требует конкретного северорусского или балтийского аналога 1200–1250.,"дружинники, бояре, состоятельные служилые люди",от массового копья до статусного меча,боевое,1200,1260,"сталь/железо, дерево, кожа",клинок с прямой гардой; округлое навершие расклепано на хвостовике,общая длина около 90–105 см по аналогу,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC051""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0039,Меч с прямым брусковидным навершием — ранняя форма,weapons,мечи и ножны,"Меч с прямой гардой и относительно простым поперечным/брусковидным навершием; возможен как более ранний предмет, сохранявшийся в употреблении, но не универсальная форма 1230 года.","дружинники, бояре, состоятельные служилые люди",от массового копья до статусного меча,боевое,1100,1230,"железо/сталь, дерево, кожа",кованый клинок и насадные детали рукояти,одноручный меч,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC034"",""SRC035"",""SRC037"",""SRC032""]",высокий: нужен конкретный референс и явная маркировка реконструкции,каролингским мечом IX–X вв. как массовой нормой 1230 года,reference_required
WPN0040,Поясной ременной подвес меча,weapons,мечи и ножны,"Система ремней, связывающая ножны с поясом и удерживающая их под углом; точное число и положение ремешков зависит от реконструируемого комплекса.","дружинники, бояре, состоятельные служилые люди",от массового копья до статусного меча,боевое,1180,1260,"кожа, железные/бронзовые пряжки и накладки",ремни с петлями/пряжками вокруг ножен и пояса,по фигуре и ножнам,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC061""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0041,Бердыш,weapons,"мечи, копья, топоры, луки и другое оружие",Длиннодревковый широколезвийный топор XVI–XVII вв.; внесён только как запрет.,"дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1500,1700,"железо, дерево",длинное широкое лезвие на древке,поздняя форма,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",D,Спорно. Хранится только как исследовательская гипотеза и не должно автоматически попадать в генерацию.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032""]",критический,поздними этнографическими и неосредневековыми формами той же функции,research_only
WPN0042,Боевой нож с прямой спинкой,weapons,"мечи, копья, топоры, луки и другое оружие","Средний однолезвийный клинок, по форме близкий крупному универсальному ножу; статус боевого определяется контекстом, а не отдельной фантазийной формой.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"железо/сталь, дерево/кость рукояти, кожа ножен",кованый клинок с хвостовиком,"обычно короче меча, клинок примерно 10–25 см; точный размер по находке",точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",A,"Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экземпляром.","[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC008"",""SRC061""]","средний: опасность главным образом в позднем декоре, слишком новом состоянии и неверном масштабе",поздним кинжалом с развитой гардой или фэнтезийным тесаком,safe_with_record_specific_reference
WPN0043,Бронзовая булава с пирамидальными шипами,weapons,"мечи, копья, топоры, луки и другое оружие",Литое навершие с несколькими невысокими выступами; не огромная фэнтезийная моргенштерн-булава.,"дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"бронза, деревянная рукоять",литое полое/цельное навершие,"компактное, по экземпляру",точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC036""]",высокий: нужен конкретный референс и явная маркировка реконструкции,поздними этнографическими и неосредневековыми формами той же функции,reference_required
WPN0044,Булава с железным многогранным навершием,weapons,"мечи, копья, топоры, луки и другое оружие","Компактное ударное навершие с выступами/гранями, насаженное на короткую деревянную рукоять.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"железо или бронза, дерево",литое/кованое навершие с центральным отверстием на рукояти,навершие обычно несколько сантиметров; рукоять одноручная,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC036""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0045,Двушипный или гарпунный наконечник стрелы — специальный,weapons,"мечи, копья, топоры, луки и другое оружие","Наконечник с обратными зубцами, связанный с охотой/рыболовством; не универсальная военная стрела.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,железо или кость,кованое/резное острие с зубцами,по находке,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0046,Древко стрелы,weapons,"мечи, копья, топоры, луки и другое оружие","Прямая тонкая деревянная заготовка с насаженным наконечником, вырезом под тетиву и оперением.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"прямая мелкослойная древесина, перо, клей/обмотка",струганое и выправленное древко,примерно 60–85 см как общий ориентир; конкретно по комплексу,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0047,Каменное ядро для метательной машины — осадное,weapons,"мечи, копья, топоры, луки и другое оружие",Крупный округлый камень для камнемётной машины; относится к осадному контексту и не является обычным уличным предметом.,"дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,осадное,1180,1260,камень,обтёсан до приблизительно сферической формы,значительно тяжелее ручного снаряда; по находке,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC034"",""SRC035"",""SRC037"",""SRC032""]",высокий: нужен конкретный референс и явная маркировка реконструкции,поздними этнографическими и неосредневековыми формами той же функции,reference_required
WPN0048,Конное копьё,weapons,"мечи, копья, топоры, луки и другое оружие","Более длинное и прочное копьё всадника; точная техника удержания и длина зависят от военной традиции, поэтому не изображается как поздняя рыцарская турнирная ланса.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"прямое деревянное древко, железный наконечник",тщательно выструганное древко без позднего упора для руки,примерно 2.5–3.2 м как ориентир; конкретика по реконструкции,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC036"",""SRC038""]",высокий: нужен конкретный референс и явная маркировка реконструкции,тяжёлым турнирным копьём XIV–XVI вв.,reference_required
WPN0049,Копьё с ромбическим пером,weapons,"мечи, копья, топоры, луки и другое оружие","Компактное перо ромбической формы и усиленного сечения, закреплённое на втулке.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"железо/сталь, дерево",кованое перо с втулкой,по конкретному типу,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC036""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0050,Копьё с узким удлинённым пером,weapons,"мечи, копья, топоры, луки и другое оружие",Узкое вытянутое перо ромбического или линзовидного сечения для концентрированного колющего удара.,"дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"железо/сталь, дерево",кованый наконечник с втулкой,наконечник по типу; древко 2–3 м ориентировочно,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0051,Копьё с широким ланцетовидным наконечником,weapons,"мечи, копья, топоры, луки и другое оружие","Симметричное листовидное перо с втулкой, пригодное для колющего удара пешего или конного воина.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"железный/стальной наконечник, деревянное древко","кованое перо и сваренная/вытянутая втулка, насаженная на древко",наконечник часто 20–40 см; древко ориентировочно 2–3 м в зависимости от применения,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC036""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0052,Листовидный наконечник стрелы,weapons,"мечи, копья, топоры, луки и другое оружие","Плоское расширенное перо с черешком, пригодное для поражения мягкой цели и охоты.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,железо/сталь,кованое перо и черешок,по типологической таблице,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",A,"Прямое новгородское археологическое, архитектурное или письменное подтверждение в подходящем диапазоне; форму всё равно сверять с конкретным опубликованным экземпляром.","[""SRC034"",""SRC035"",""SRC037"",""SRC032""]","средний: опасность главным образом в позднем декоре, слишком новом состоянии и неверном масштабе",поздними этнографическими и неосредневековыми формами той же функции,safe_with_record_specific_reference
WPN0053,Наконечник ножен меча,weapons,"мечи, копья, топоры, луки и другое оружие","Металлическая деталь на нижнем конце ножен, защищающая дерево от удара и истирания; форма зависит от датированного типа.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,бронза/латунь или железо,литая или кованая обойма,обычно несколько сантиметров,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC051""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0054,Налуч для составного лука,weapons,"мечи, копья, топоры, луки и другое оружие","Кожаный или комбинированный чехол, закрывающий лук либо его часть при переноске.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"кожа, дерево/ткань в основании, ремни",сшитый профильный футляр,по форме сложенного/натянутого лука,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC061"",""SRC038""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0055,"Ножны меча деревянные, обтянутые кожей",weapons,"мечи, копья, топоры, луки и другое оружие","Узкий футляр из двух деревянных половин, обтянутых кожей или тканью, с устьем и наконечником; повторяет форму клинка.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"тонкие деревянные планки, кожа/ткань, клей, железо/цветной металл на устье и наконечнике",две выдолбленные половины соединены и обтянуты,чуть длиннее и шире соответствующего клинка,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC061"",""SRC008""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0056,Оперение стрелы,weapons,"мечи, копья, топоры, луки и другое оружие","Два или три продольных сегмента пера, приклеенных и примотанных к задней части древка.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"маховые перья, клей, тонкая нить",обрезанные перья и обмотка,несколько сантиметров вдоль древка,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC008""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0057,Пехотное копьё средней длины,weapons,"мечи, копья, топоры, луки и другое оружие","Древко умеренной длины с боевым наконечником; используется строем или индивидуально, без поздней пики.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"ясень/берёза/другая прочная древесина, железный наконечник","прямое строганое древко, втульчатый наконечник, возможный подток",ориентировочно 2–2.5 м; не нормировать без сценария,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC036"",""SRC008""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
WPN0058,Поздний двуручный меч,weapons,"мечи, копья, топоры, луки и другое оружие","Крупный двуручный клинок позднего Средневековья, отсутствующий как нормальная форма около 1230 г.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1350,1600,сталь,длинная двуручная рукоять и большой клинок,поздняя форма,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",D,Спорно. Хранится только как исследовательская гипотеза и не должно автоматически попадать в генерацию.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032""]",критический,поздними этнографическими и неосредневековыми формами той же функции,research_only
WPN0059,Поясной набор лучника: налуч и колчан,weapons,"мечи, копья, топоры, луки и другое оружие",Функциональная пара чехлов на ремнях; не симметричный декоративный комплект поздних степных культур.,"дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"кожа, дерево/береста, железная/бронзовая фурнитура",чехлы и система ремней,по телу и оружию,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC038""]",высокий: нужен конкретный референс и явная маркировка реконструкции,поздними этнографическими и неосредневековыми формами той же функции,reference_required
WPN0060,Пращевой камень,weapons,"мечи, копья, топоры, луки и другое оружие",Отобранный округлый камень подходящего размера; специально обработанные ядра для ручной пращи не всегда отличимы.,"дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,камень,естественный или слегка оббитый,умещается в ладони,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC008"",""SRC045""]",высокий: нужен конкретный референс и явная маркировка реконструкции,поздними этнографическими и неосредневековыми формами той же функции,reference_required
WPN0061,Сабля восточноевропейского типа — редкая,weapons,"мечи, копья, топоры, луки и другое оружие","Однолезвийный слегка изогнутый клинок степной/южнорусской традиции; для Новгорода около 1230 возможен как редкий привозной или дружинный предмет, но не местная норма.","дружина, служилые люди, охотники, ополчение",редкий приезжий или элитный военный контекст,боевое,1180,1260,"сталь/железо, дерево, кожа","изогнутый однолезвийный клинок, перекрестье и рукоять по типу",по конкретной находке XII–XIII вв.,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC036""]",очень высокий,"поздней татарской, польской или казачьей саблей",reference_required
WPN0062,Самострел раннего типа,weapons,"мечи, копья, топоры, луки и другое оружие","Механический лук с ложем и спуском; в древнерусском контексте XII–XIII вв. возможен, но локальная новгородская распространённость около 1230 не должна преувеличиваться.","дружина, служилые люди, охотники, ополчение",редкое специализированное оружие,боевое,1180,1260,"дерево, рог/композитный лук, железный спуск, тетива","лук поперёк деревянного ложа, простой механический замок",по датированному европейскому/древнерусскому аналогу,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",C,"Осторожная реконструкция: функция или наличие вероятны, но конкретная форма/конструкция для Новгорода около 1230 не закреплена полностью.","[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC036""]",высокий: нужен конкретный референс и явная маркировка реконструкции,поздними этнографическими и неосредневековыми формами той же функции,reference_required
WPN0063,Составной рефлексный лук восточноевропейской традиции,weapons,"мечи, копья, топоры, луки и другое оружие","Короткий/средний лук сложной формы, составленный из дерева, рога/сухожилий и клея; в ненатянутом состоянии плечи выраженно изогнуты.","дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,"дерево, рог, сухожилия, органический клей, береста/кожа обмотки",многослойная склейка и обмотка; точный профиль по оружиеведческой реконструкции,обычно короче западноевропейского длинного лука; точная длина по типу,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC036"",""SRC008""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,английским longbow XIV–XV вв. или современным рекурсивным луком,safe_with_constraints
WPN0064,Срезень — широкий охотничий наконечник,weapons,"мечи, копья, топоры, луки и другое оружие",Широкое поперечное или лопаткообразное лезвие для перерезания тканей/перьев и охоты; конкретные типы различаются.,"дружина, служилые люди, охотники, ополчение",от простого ополчения до княжеской дружины,боевое,1180,1260,железо/сталь,кованое лезвие с черешком,по конкретному типу,точно не установлена; не нормировать без конкретной находки,"заточки, забоины, масло, ржавчина только умеренно",B,Хорошая реконструкция по новгородским данным и нескольким близким древнерусским аналогиям XII–XIII вв.,"[""SRC034"",""SRC035"",""SRC037"",""SRC032"",""SRC045""]",средне-высокий: без референса генератор часто подменяет форму позднесредневековой или этнографической,поздними этнографическими и неосредневековыми формами той же функции,safe_with_constraints
